cell	clone
7788653	8/11
7851015	15
7852472	17/20
7888381	0/1
7894411	0/1
7961152	21/30/31/35/38
7982798	5
8008097	9/10
8040316	21/30/31/35/38/40/44
8061166	0/1/6
8067628	0/3
8084225	9/10/12/21
8091968	12
8099441	13/14
8115349	13/14
8116034	13/14
8130240	0/2/4
8131187	0/2/7
8131895	0/3
8137594	0/1
8141907	6
8142919	5
8143617	0/1
8146383	6
8149498	0/2/4
8152138	0/1
8153687	5
8154610	6
8154942	0/2/4
8155160	0/2
8166859	9/10/12/21
8178880	12
8181411	8/11/13/14
8183943	8/11/16
8185531	8/11
8185660	13/14/17/20
8188817	16
8189231	13/14
8190199	13/14
8190871	13/14
8191621	13/14
8192922	13/14
8196058	13/14
8196666	13/14
8198291	16
8201615	22
8202613	13/14
8203920	24
8208001	21/30/31/35/38/40/44
8209616	21/30/31/35/38/42
