cell	clone
7550014	1
7598010	6/7/10/26
7687131	23
7755311	0
7773637	9/15/18
7812963	8/11/12/13/14/16/17/22/27/29/30/31
7822859	8/11/12/13/14/16/17/22/27/29/30/31
7826295	8/11/12/13/14/16/17/22/27/29/30/31
7830014	47
7854480	0
7857411	0
7880351	9/15/18
7902011	33
7906767	6/7/10/26
7909909	6/7/10/26
7915739	40/41
7925569	8/11/12/13/14/16/17/22/27/29/30/31
7929456	47
7934308	0
7935255	0
7935963	0
7941662	3
7945975	0
7946987	5
7947685	0
7953566	0
7956206	1
7957755	0
7958678	0
7959228	0
7970927	9/15/18/24
7985479	19/20
7988011	6/7/10/26/33
7989599	6/7/10/26
7989728	6/7/10/26
7992885	35
7993299	6/7/10/26
7994267	6/7/10/26
7995689	6/7/10/26
8002359	6/7/10/26
8005683	32
8006681	33
8007988	32
8012069	8/11/12/13/14/16/17/22/27/29/30/31
8013684	40/41/43
8019742	8/11/12/13/14/16/17/22/27/29/30/31
8019747	8/11/12/13/14/16/17/22/27/29/30/31
8020457	8/11/12/13/14/16/17/22/27/29/30/31
8020826	8/11/12/13/14/16/17/22/27/29/30/31
8025330	8/11/12/13/14/16/17/22/27/29/30/31
