cell	clone
6559540	29/31/39/40/42
6629471	6
7026993	26/27/30
7063005	13/14/20/21/36/43
7069414	43
7214059	37
7265114	11/12/17/18/24/25
7306209	29/31/39/40
7339234	48/51
7372420	0/1/7/8
7385681	1
7400886	33
7419898	29/31/39/40/42
7439248	13/14/20/21/36/43
7453217	44/45/47
7457257	13/14/20/21/36
7480179	37
7488362	15/19/22/34/55/56
7491514	0/3/5
7492222	0/2/4
7502234	0/1
7503246	0
7503944	2/4
7509825	2/4
7512465	0
7514014	1
7514937	7/8
7515487	3/5
7527186	11/12/17/18/24/25
7541738	29/31/39/40/42/52
7544270	29/31/39/40/42
7545858	29/31/39/40/42
7549144	29/31/39/40/42
7549558	29/31/39/40/42
7550526	29/31/39/40/42
7551948	29/31/39/40/42
7558618	29/31/39/40/42
7561942	29/31/39/40/42
7562940	29/31/39/40
7564247	29/31/39/40
7569943	13/14/20/21/36/46
7576001	13/14/20/21/36
7576006	44/45/47
7576716	13/14/20/21/36
7577085	13/14/20/21/36
7595211	37
7608439	37
7610279	37
7610491	37
7615664	15/19/22/34/55/56
