0,0.475,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00716,0.475
0.00625,0,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95
0.00714,0.475,0,0.00714,0.00714,0.00714,0.00714,0.00714,0.00716,0.475
0.00714,0.475,0.00714,0,0.00714,0.00714,0.00714,0.00714,0.00716,0.475
0.00714,0.475,0.00714,0.00714,0,0.00714,0.00714,0.00714,0.00716,0.475
0.00714,0.475,0.00714,0.00714,0.00714,0,0.00714,0.00714,0.00716,0.475
0.00714,0.475,0.00714,0.00714,0.00714,0.00714,0,0.00714,0.00716,0.475
0.00714,0.475,0.00714,0.00714,0.00714,0.00714,0.00714,0,0.00716,0.475
0.00714,0.475,0.00714,0.00714,0.00714,0.00714,0.00714,0.00716,0,0.475
0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0
