node	tissue
GL	P
0	P
19-32	P
83-209	P
257	P
257-P	P
365-403-471	P
498-505	P
498-505-P	P
613	P
613-P	P
903-P	P
931-P	P
936-P	P
937-P	P
733-786-P	P
865-P	P
565	P
565-P	P
588	P
588-P	P
831	P
831-P	P
924-P	P
930-P	P
669	P
669-P	P
832	P
832-P	P
925-P	P
790-835-P	P
40-87	P
40-87-P	P
553	P
553-P	P
641	P
641-P	P
908-P	P
927-P	P
886-P	P
610-P	P
810	P
810-P	P
863-P	P
928-P	P
46-185-244-258	P
46-185-244-258-P	P
867-P	P
902-P	P
54-86-106-113-238-250-319	P
54-86-106-113-238-250-319-P	P
540-861	P
540-861-P	P
884-P	P
932-P	P
614	P
614-P	P
929-P	P
645-P	P
690	P
690-P	P
889-P	P
935-P	P
788-P	P
933-P	P
934-P	P
73	P
97	P
97-P	P
475	P
475-P	P
712-P	P
713-P	P
644-P	P
732-761	P
732-761-P	P
923-P	P
926-P	P
131	P
541-766-P	P
566-800-P	P
418	M1
418-M1	M1
739	M1
739-M1	M1
912	M1
912-M1	M1
938-M1	M1
465	M1
543-604-673	M1
543-604-673-M1	M1
816-M1	M1
157-603-672-M1	M1
83-209-M2	M2
584-618-723-M2	M2
456	M3
456-M3	M3
677-698-M3	M3
771	M3
771-M3	M3
941-M3	M3
917-M3	M3
940-M3	M3
942-M3	M3
522-549	M3
522-549-M3	M3
745	M3
745-M3	M3
916-M3	M3
943-M3	M3
944-M3	M3
945-M3	M3
846	M3
846-M3	M3
918-M3	M3
875-M3	M3
496	M5
496-M5	M5
680-M5	M5
749	M5
749-M5	M5
851-M5	M5
852	M5
852-M5	M5
898-M5	M5
946-M5	M5
849	M5
849-M5	M5
878-897-M5	M5
920-M5	M5
54-86-106-113-238-250-319-M6	M6
727-752-M6	M6
921-M6	M6
587-609-621	M7
587-609-621-M7	M7
683-M7	M7
465-M8	M8
322-M9	M9
745-M9	M9
M6-0	M6
322	M3
M2-0	M2
70-98-144	M1
