node	tissue
GL	P
0-1-5-9-23-27-36	P
61-69-125-138-148	P
198-214-273-295	P
495-512	P
826	P
826-P	P
1008-1051	P
1008-1051-P	P
1117	P
1117-P	P
1141-P	P
1118-P	P
836-861	P
836-861-P	P
1116-P	P
1140-P	P
496-550-670-733	P
496-550-670-733-P	P
799-817	P
799-817-P	P
1092-P	P
1139-P	P
824	P
824-P	P
953	P
953-P	P
1136-P	P
1137-P	P
1138-P	P
1135-P	P
248	M1
267-287-290-390	M1
764	M1
764-M1	M1
839	M1
839-M1	M1
916	M1
916-M1	M1
1097-M1	M1
1119-M1	M1
1145-M1	M1
1121-M1	M1
1146-M1	M1
917-M1	M1
459	M1
459-M1	M1
723-747	M1
723-747-M1	M1
1074-M1	M1
1094-M1	M1
852-865-958-M1	M1
866-M1	M1
1075-M1	M1
1142-M1	M1
1143-M1	M1
1144-M1	M1
85-119-130-157-209	P
85-119-130-157-209-M2	M2
536-678-942-M2	M2
537-822-M2	M2
766-786-795-M2	M2
921-1033-M2	M2
1150-M2	M2
501	M3
642	M3
868	M3
868-M3	M3
1126-M3	M3
931-1021	M3
931-1021-M3	M3
1125-M3	M3
744	M3
744-M3	M3
891	M3
891-M3	M3
1157-M3	M3
986-1044-1064	M3
986-1044-1064-M3	M3
1158-M3	M3
1085-M3	M3
566-M4	M4
731	M4
731-M4	M4
1127-M4	M4
858	M4
858-M4	M4
1024	M4
1024-M4	M4
1106-M4	M4
1025-M4	M4
1108-M4	M4
1159-M4	M4
502-510-M5	M5
871	M5
871-M5	M5
908	M5
908-M5	M5
1110-M5	M5
1111-M5	M5
1046-M5	M5
1068-M5	M5
1109	M5
1109-M5	M5
1128-M5	M5
973-1048-M5	M5
1003	M5
1003-M5	M5
1047-M5	M5
1160-M5	M5
1161-M5	M5
292-549-760-M6	M6
910	M6
910-M6	M6
991	M6
991-M6	M6
1132-M6	M6
1050-M6	M6
1070-M6	M6
1112-M6	M6
1130-M6	M6
1162-M6	M6
839-M8	M8
292-549-760	M6
502-510	M5
566	M4
M2-0	M2
