cell	clone
11569029	57
11634323	4/5/8/10/11
11685108	2
11707422	7/12/15/28/31/43/45/55
11716605	57
11759942	4/5/8/10/11
11773981	29/30
11803305	0
11808334	0
11869342	4/5/8/10/11
11873346	4/5/8/10/11
11958915	7/12/15/28/31/43/45/55
11970607	7/12/15/28/31/43/45/55
11988274	7/12/15/28/31/43/45/55
12008720	23
12031198	6/9/16/18/26
12032623	6/9/16/18/26
12039973	6/9/16/18/26
12050558	0
12051266	0
12061278	0
12062290	0
12062988	0
12068869	0
12071509	0
12073058	1
12073981	0
12074531	2
12086230	7/12/15/28/31/43/45/55/57
12100782	7/12/15/28/31/43/45/55
12103314	58/59
12104902	57
12108188	57
12108602	7/12/15/28/31/43/45/55
12109570	57
12110992	57
12117662	58/59
12120986	7/12/15/28/31/43/45/55
12121984	58/59
12123291	58
12128987	4/5/8/10/11
12135045	19
12135050	24
12135760	23
12136129	4/5/8/10/11
12154255	6/9/16/18/26
12167483	6/9/16/18/26
12169323	29/30
12169535	29/30
12174708	29/30
