cell	clone
5835610	53
6398500	0
6528757	2
6542600	1
6654601	55
6763505	8/24
6851071	5/11
6862923	14
6903880	8/24
6921210	30/38
6939008	26/41
7009475	14
7022064	16
7046155	8/24/33/34
7046905	3/9/15
7071915	30/38
7072910	30/38
7077936	54/57
7096659	30/38
7117286	0
7117994	0
7128006	0
7129018	0
7129716	0
7135597	0
7138237	0
7139786	1
7140709	0
7141259	0
7152958	5/11/16
7170042	14
7174916	18
7175330	5/11
7176298	16
7177720	5/11
7184390	20
7187714	14
7188712	14
7190019	14
7201773	8/24
7202488	8/24
7202857	3/9/15
7220983	0
7222311	30/38
7229987	54/57
7251816	55
7253239	30/38
7260189	30/38
7261715	30/38
7270017	32/36/42/64
