cell	clone
8054423	0
8645152	2/4/7/8/13/19/24/27/28
8702921	54
8745449	0
8781259	34
8790590	6/9/14/21/30/33
8800546	17/25/31/39/40/44/52
8818504	17/25/31/39/40/44/52
8827911	62/64
8857015	1
8862746	0
8885527	2/4/7/8/13/19/24/27/28
8889517	2/4/7/8/13/19/24/27/28
8912062	35
8921109	54
8927680	54
8931202	54
8946377	10/32/42/48/49/53/55/56
8957089	10/32/42/48/49/53/55/56
8958491	0
8959199	0
8969211	0
8970223	3/5
8970921	0
8976802	0
8979442	0
8980991	1
8981914	0
8982464	0
8994163	2/4/7/8/13/19/22
9008715	6/9/14/21/30/33
9011247	6/9/14/21/30/33
9012835	34
9016121	6/9/14/21/30/33
9016535	6/9/14/21/30/33
9017503	6/9/14/21/30/33
9018925	6/9/14/21/30/33
9025595	6/9/14/21/30/33
9028919	34
9029917	6/9/14/21/30/33
9031224	38
9036920	54
9042978	17/25/31/39/40/44/52
9042983	17/25/31/39/40/44/52
9043693	17/25/31/39/40/44/52
9044062	17/25/31/39/40/44/52
9048566	17/25/31/39/40/44/52
9060740	10/32/42/48/49/53/55/56
9062188	10/32/42/48/49/53/55/56
9075416	62/64
