cell	clone
4707205	5/9/18
4717039	0/1
4815515	0/1
4842716	4/6/10/16
4854496	4/6/10/16
4879806	26
4886880	5/9/18
4918395	2
4926529	0/1
4948529	4/6/10/16
4960877	0/1
4970243	8/12/14/15
4974994	26
4981760	43
4982690	43
4988464	5/9/18/42
4995437	5/9/18
4999839	5/9/18
5001482	0/1
5002429	0/1
5003137	0/1
5008836	0/1
5013149	0/1
5014161	0/1
5014859	2
5020740	3
5023380	0/1
5024929	0/1
5025852	0/1
5026402	0/1
5038101	4/6/10/16/21
5052653	20
5055185	8/12/14/15/26
5056773	8/12/14/15/26
5056902	0/1
5060059	8/12/14/15
5060473	8/12/14/15
5061441	26/29
5062863	30
5069533	8/12/14/15
5072857	8/12/14/15
5073855	8/12/14/15
5075162	0/1
5079243	5/9/18
5080858	43
5086916	34
5086921	34
5087631	5/9/18
5088000	43
5092504	34
