node	tissue
GL	P
0	P
0-P	P
2	P
2-P	P
6	P
102-578	P
102-578-P	P
1005	P
1005-P	P
1170-P	P
125	P
125-P	P
271-466-818-P	P
615-808-P	P
813	P
813-P	P
1109-P	P
1169-P	P
899	P
899-P	P
1058-P	P
193	P
550-848-P	P
670-P	P
8-12	P
8-12-P	P
505	P
505-P	P
1158-P	P
581	P
581-P	P
1067-P	P
767-P	P
960	P
960-P	P
1175-P	P
1006-P	P
1054-P	P
1115-P	P
1166-P	P
1167-P	P
1174-P	P
10	P
10-P	P
111-170	P
111-170-P	P
708	P
708-P	P
1107-P	P
1164-P	P
956-P	P
1007	P
1007-P	P
1060-P	P
1059-P	P
1171-P	P
896-P	P
49-105-P	P
63-473	P
63-473-P	P
671	P
671-P	P
949-P	P
1114	P
1114-P	P
1176-P	P
1003	P
1003-P	P
1161-P	P
1051-P	P
118-254	P
118-254-P	P
1163-P	P
141-262	P
943-P	P
1100-P	P
200	P
200-P	P
363-P	P
263	P
263-P	P
1156-P	P
1157-P	P
285-P	P
305-P	P
385	P
385-P	P
1046-P	P
592	P
592-P	P
1052-P	P
1159-P	P
1168-P	P
853-1105	P
853-1105-P	P
1162-P	P
942	P
942-P	P
1155-P	P
1097-P	P
1153-P	P
1154-P	P
1173-P	P
1179-P	P
13	P
70	P
84	P
153-282-P	P
308-503-707	P
308-503-707-P	P
904-957-P	P
1172-P	P
630-P	P
321	P
1101	P
1101-P	P
1160-P	P
1102-P	P
21	P
212	P
212-P	P
948-P	P
474	P
474-P	P
905	P
905-P	P
1178-P	P
1065-P	P
1177-P	P
136-587	P
136-587-P	P
1068	P
1068-P	P
1117-P	P
191-435	P
191-435-P	P
1004-1055-P	P
296-P	P
329-375	P
329-375-P	P
1111-P	P
624-733	P
624-733-P	P
1165-P	P
1062-P	P
1064-P	P
0-M1	M1
565-788-M1	M1
566-753-M1	M1
713-M1	M1
877-M1	M1
963-M1	M1
1083-M1	M1
1125-M1	M1
1126-M1	M1
1186-M1	M1
1188-M1	M1
1192-M1	M1
1195-M1	M1
2-M2	M2
491-M2	M2
937-M2	M2
991-M2	M2
1038-M2	M2
1147-M2	M2
1202-M2	M2
100-M3	M3
690	M3
690-M3	M3
1208-M3	M3
997-M3	M3
1042-M3	M3
1149-M3	M3
1150-M3	M3
1204-M3	M3
321-M3	M3
939-M3	M3
1043-M3	M3
1148-M3	M3
1203-M3	M3
1207-M3	M3
2-M4	M4
1045-M4	M4
996-M6	M6
M6-1	P
M3-0	M3
M4-0	M4
M2-0	M2
100	M3
M1-0	M1
