node	tissue
GL	P
0-5-214-224-292-413	P
583	P
583-P	P
666	P
666-P	P
754	P
754-P	P
880	P
880-P	P
909-P	P
962-P	P
1000-P	P
977	P
977-P	P
998-P	P
999-P	P
740	P
740-P	P
836-882	P
836-882-P	P
1003-P	P
928	P
928-P	P
1002-P	P
1001-P	P
813-850-894-P	P
603-659	P
603-659-P	P
733-P	P
978-P	P
624	P
624-P	P
924-P	P
960-P	P
996-P	P
997-P	P
0-5-214-224-292-413-M1	M1
968-M1	M1
653-683-705	M4
653-683-705-M4	M4
860-903-M4	M4
1015-M4	M4
703	M4
725-730-764-782-M4	M4
783-793-M4	M4
467-489-718-808-M5	M5
923-M5	M5
1016-M5	M5
467-489-718-808	M5
562-606	M4
M1-0	M1
