node	tissue
GL	P
0	P
7-94-235	P
394-894	P
1020	P
1020-P	P
1449-P	P
1593-1626	P
1593-1626-P	P
1735-P	P
1649-P	P
1653-P	P
1685-P	P
1152-1269	P
1452	P
1452-P	P
1687-P	P
1688-P	P
1492	P
1492-P	P
1682	P
1682-P	P
1173	P
1173-P	P
1739-P	P
1304-P	P
1327-1349-1686-P	P
1430	P
1430-P	P
1594	P
1594-P	P
1738-P	P
1740-P	P
1468	P
1468-P	P
1710-P	P
1491	P
1491-P	P
1737-P	P
1534	P
1534-P	P
1708-P	P
664	P
664-P	P
1409-P	P
1410	P
1410-P	P
1736-P	P
1224-1505-M1	M1
1592-M1	M1
1682-M1	M1
414	M1
1027-1117-1186-1258-M1	M1
428-531-646	M1
428-531-646-M1	M1
883	M1
986	M1
1059	M1
1059-M1	M1
1515-M1	M1
1663-M1	M1
1722	M1
1722-M1	M1
1742-M1	M1
1744-M1	M1
1748-M1	M1
1437-1600-M1	M1
1474	M1
1474-M1	M1
1695-M1	M1
1047	M1
1047-M1	M1
1718-M1	M1
1743-M1	M1
961-1500	M1
961-1500-M1	M1
1602-M1	M1
1692-M1	M1
1614-1670-M1	M1
1697-M1	M1
1699-M1	M1
1747-M1	M1
434-498-635-644	M1
434-498-635-644-M1	M1
1571-M1	M1
1712-M1	M1
1741-M1	M1
561-568	M1
728-1352	M1
728-1352-M1	M1
1568-M1	M1
1575-M1	M1
759	M1
1098-1164-1261	M1
1098-1164-1261-M1	M1
1319	M1
1319-M1	M1
1745-M1	M1
959	M1
959-M1	M1
985	M1
985-M1	M1
1104-1284	M1
1104-1284-M1	M1
1632-M1	M1
1122	M1
1122-M1	M1
1188	M1
1208-M1	M1
1288	M1
1572	M1
1572-M1	M1
1655	M1
1655-M1	M1
1750-M1	M1
1715-M1	M1
1203	M1
1203-M1	M1
1512-M1	M1
1576	M1
1576-M1	M1
1749-M1	M1
1605-M1	M1
1635-M1	M1
1657	M1
1657-M1	M1
1746-M1	M1
1660-M1	M1
1286-1514-M1	M1
1433	M1
1513-M1	M1
1581-M1	M1
972-1211-1318-1420-1636-M1	M1
1309-M2	M2
1422	M2
1422-M2	M2
1723-M2	M2
1751-M2	M2
1582	M2
1582-M2	M2
1725-M2	M2
1726-M2	M2
1107	M3
1107-M3	M3
1673-M3	M3
1525-1583-M3	M3
730-M3	M3
949	M3
949-M3	M3
1359	M3
1376-M3	M3
1484-M3	M3
730-M5	M5
1621-M5	M5
1644-M5	M5
1645-1706-M5	M5
1288-M7	M7
1734-M7	M7
1757-M7	M7
1758-M7	M7
428-531-646-M10	M10
985-M10	M10
M5-0	M5
M7-0	M7
1309	M2
M4-0	M4
730	M3
M1-0	P
M1-2	P
27-275-372	M1
