node	tissue
GL	P
0	P
24-74-186-673-686	P
24-74-186-673-686-P	P
1134-P	P
1243-1519-P	P
1344	P
1344-P	P
1386	P
1386-P	P
1559-P	P
1497	P
1497-P	P
1558-P	P
17	M1
71-88	M1
173-189	M1
173-189-M1	M1
1323	M1
1323-M1	M1
1387-1469-M1	M1
1347-M1	M1
1561-M1	M1
124	M1
519-1284-1404-1429-1468	M1
519-1284-1404-1429-1468-M1	M1
1560-M1	M1
899	M1
899-M1	M1
1434-M1	M1
605-1203-1248-M2	M2
678-783	M2
678-783-M2	M2
1415-M2	M2
1435-M2	M2
1499	M2
1499-M2	M2
1562-M2	M2
1500-M2	M2
713-800	M2
713-800-M2	M2
1349-M2	M2
1470-M2	M2
1117-1219	M3
1117-1219-M3	M3
1472-1483-M3	M3
1566-M3	M3
1218	M3
1218-M3	M3
1438	M3
1438-M3	M3
1564-M3	M3
1565-M3	M3
1436-M3	M3
1452	M3
1452-M3	M3
1563-M3	M3
525	M4
525-M4	M4
1206-1392	M4
1206-1392-M4	M4
1567-M4	M4
1393-M4	M4
1504-M4	M4
1506-M4	M4
1529-M4	M4
833-874-1128-1314	M5
833-874-1128-1314-M5	M5
1455-1545-M5	M5
913	M5
913-M5	M5
1355	M5
1355-M5	M5
1546-M5	M5
1394	M5
1394-M5	M5
1570-M5	M5
1457-M5	M5
1474	M5
1474-M5	M5
1533-M5	M5
1569-M5	M5
1568-M5	M5
511	M6
586-722-1317	M6
586-722-1317-M6	M6
1511-M6	M6
1572-M6	M6
975	M6
975-M6	M6
1077-1277-1357	M6
1077-1277-1357-M6	M6
1550-M6	M6
1571-M6	M6
1267-1280-1356	M6
1267-1280-1356-M6	M6
1485-1534-M6	M6
623-743-814-837-1034-M7	M7
1281-1322	M7
1281-1322-M7	M7
1492	M7
1492-M7	M7
1576-M7	M7
1514	M7
1514-M7	M7
1574-M7	M7
1537-M7	M7
1554-M7	M7
1575-M7	M7
1301	M7
1400-1476	M7
1400-1476-M7	M7
1552	M7
1552-M7	M7
1573-M7	M7
1427-M7	M7
1512-M7	M7
678-783-M8	M8
1578-M8	M8
1307-M8	M8
1577-M8	M8
623-743-814-837-1034-M9	M9
525-M10	M10
1344-M11	M11
623-743-814-837-1034	M7
229-442-466	M5
M8-0	M8
1307	M8
201-371-433-489	M2
144-475-583-1003	M3
29-38-84-132	M4
