cell	clone
9308999	9/14/16/17/23/24/27/31/41/49/53/56
9420898	12/13/15/18/34/38/39/44/47/57/58
9433925	4
9435698	4
9440715	1
9476914	12/13/15/18/34/38/39/44/47/57/58
9482991	12/13/15/18/34/38/39/44/47/57/58
9486010	12/13/15/18/34/38/39/44/47/57/58
9504658	2/5
9525148	1
9531789	9/14/16/17/23/24/27/31/41/49/53/56
9541590	9/14/16/17/23/24/27/31/41/49/53/56
9546128	9/14/16/17/23/24/27/31/41/49/53/56
9546602	9/14/16/17/23/24/27/31/41/49/53/56
9568909	12/13/15/18/34/38/39/44/47/57/58
9570996	12/13/15/18/34/38/39/44/47/57/58
9576791	12/13/15/18/34/38/39/44/47/57/58
9577782	0
9578729	4
9579437	4
9585136	7
9589449	2
9590461	2
9591159	2
9593925	6
9595011	5
9597040	1
9599680	1
9601229	1
9602152	1
9602484	2
9602702	1
9614401	9/14/16/17/23/24/27/31/41/49/53/56/64
9626422	9/14/16/17/23/24/27/31/41/49/53/56
9628953	9/14/16/17/23/24/27/31/41/49/53/56
9631485	12/13/15/18/34/38/39/44/47/57/58
9633073	12/13/15/18/34/38/39/44/47/57/58
9633202	12/13/15/18/34/38/39/44/47/57/58
9636359	12/13/15/18/34/38/39/44/47/57/58
9636773	12/13/15/18/34/38/39/44/47/57/58
9637741	12/13/15/18/34/38/39/44/47/57/58
9638413	12/13/15/18/34/38/39/44/47/57/58
9639163	12/13/15/18/34/38/39/44/47/57/58
9640464	12/13/15/18/34/38/39/44/47/57/58
9643600	12/13/15/18/34/38/39/44/47/57/58
9644208	12/13/15/18/34/38/39/44/47/57/58
9645833	12/13/15/18/34/38/39/44/47/57/58
9649157	12/13/15/18/34/38/39/44/47/57/58
9650155	12/13/15/18/34/38/39/44/47/57/58
9651462	12/13/15/18/34/38/39/44/47/57/58
