cell	clone
11528642	0
11621134	4
11698563	42
11702523	42
11717069	1/2/5
11858707	8/11/14/18
11876532	43
11917549	1/2
11948520	8/11/14/18
11956244	8/11/14/18
11968636	35
11982777	36
11985914	36
11987915	42
11991861	28/31/33/37/48
11998637	28/31/33/37/48
12002073	28/31/33/37/48
12006137	28/31/33/37/48
12012087	0/1/2/4
12013034	0/1/2
12013742	0/1/2
12019441	0
12023754	5
12024766	0
12025464	3
12031345	5
12033985	1/2
12035534	5
12036457	1/2
12037007	0
12048706	8/11/14/18
12063258	8/13/17/19/21/29/30/34/39
12065790	8/13/17/19/21/29/30
12067378	38
12067507	34/39
12070664	38
12071078	8/13/17/19/21/29/30
12072046	8/13/17/19/21/29/30
12073468	8/13/17/19/21/29/30
12080138	34/39
12083462	36
12084460	34/39
12085767	45
12089848	28/31/33/37/48
12091463	42
12097521	28/31/33/37/48
12097526	28/31/33/37/48
12098236	32/41/55
12098605	42
12103109	42
