Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	silencingRate	clockRate.c	birthRate	rho	deathRate
0	-957.3385619247301	-747.7258872223978	-209.61267470233233	-747.7258872223978	54.000000400000005	0.5	0.5	0.0	1.0	0.5377971088476478	1.0	0.01115662375511159
10000	-107.82919376486251	-52.651759586106486	-55.177434178756016	-52.651759586106486	52.84122147829635	0.7417919330404902	0.2582080669595098	0.0	0.028060004602043175	0.1583373994502225	1.0	0.15633786058285026
20000	-109.56645719748177	-53.121834576466426	-56.44462262101534	-53.121834576466426	47.280677613884066	0.6998280860253216	0.30017191397467835	0.0	0.03273231512045936	0.08872724622406482	1.0	0.12875468219425878
30000	-111.32307037310215	-50.48300118054199	-60.84006919256016	-50.48300118054199	53.138995579993065	0.6104318193466102	0.38956818065338966	0.0	0.02389277161393719	0.2400210489230131	1.0	0.1783334491889933
40000	-101.38298427181411	-49.47314846544787	-51.909835806366246	-49.47314846544787	53.53789188778144	0.6355910140636782	0.36440898593632165	0.0	0.03306591273338808	0.18788706518405715	1.0	0.1580037829594902
50000	-103.25272023997769	-49.573604372526354	-53.679115867451344	-49.573604372526354	53.50446015612678	0.42282898767800886	0.5771710123219909	0.0	0.02802084423663401	0.09495615024622052	1.0	0.09256923743082524
60000	-101.83864872864187	-48.89221600674434	-52.94643272189753	-48.89221600674434	50.08709467341253	0.5276468917427959	0.47235310825720395	0.0	0.03618005286846495	0.15771206296123652	1.0	0.10707631144563788
70000	-104.74384200313366	-50.54016329167893	-54.203678711454735	-50.54016329167893	50.095804293115556	0.3636409901499571	0.6363590098500428	0.0	0.04106408071439804	0.26956928541553726	1.0	0.3297480699201101
80000	-103.40873129125197	-48.30920152543374	-55.09952976581822	-48.30920152543374	53.47149239196534	0.34561909565134596	0.6543809043486539	0.0	0.024700145819819736	0.10736962017160076	1.0	0.04743945800662814
90000	-101.35221350723936	-49.16450702288305	-52.1877064843563	-49.16450702288305	53.321993028053	0.643361628427126	0.35663837157287387	0.0	0.030963202546952995	0.08093132432696717	1.0	0.031037256417778502
100000	-103.85122508733511	-50.04204878613762	-53.809176301197496	-50.04204878613762	53.470727404057484	0.701828792116062	0.2981712078839378	0.0	0.02268025870773394	0.1465114315746923	1.0	0.17218869099585135
110000	-101.91085524466538	-48.00919651571494	-53.90165872895045	-48.00919651571494	53.27651975113418	0.3724580027492326	0.6275419972507673	0.0	0.03485456496597165	0.24720476826069154	1.0	0.24505713705918886
120000	-102.4234042204833	-48.14492844674213	-54.27847577374118	-48.14492844674213	51.45607707214287	0.43664638303835024	0.5633536169616494	0.0	0.023112537773010398	0.1353889755390682	1.0	0.16427157292766156
130000	-107.73993449737401	-53.81221972991506	-53.92771476745895	-53.81221972991506	46.53016909406732	0.4161986569111406	0.5838013430888591	0.0	0.049379034224134755	0.15685721970966227	1.0	0.11615712189457705
140000	-108.49541665151776	-52.24036657729756	-56.2550500742202	-52.24036657729756	48.406781383246525	0.6596644879434035	0.340335512056596	0.0	0.031463272701842133	0.049067109523774466	1.0	0.0071177568055784115
150000	-102.02394925786683	-48.087491952468895	-53.93645730539794	-48.087491952468895	52.04994549776438	0.5297488311471653	0.47025116885283424	0.0	0.026710151332762166	0.13449642243507903	1.0	0.15086167761128602
160000	-104.68595172426092	-50.66008670234794	-54.02586502191298	-50.66008670234794	50.54306043761629	0.5786723147211501	0.42132768527884945	0.0	0.034312044727287105	0.29603675050326406	1.0	0.29516221765603795
170000	-102.14751857738523	-47.511578082690576	-54.63594049469465	-47.511578082690576	51.64457379185927	0.5399731321019781	0.4600268678980217	0.0	0.03315639684532127	0.19884531597460314	1.0	0.16359231142964634
180000	-102.3487377298209	-50.06409767971764	-52.28464005010325	-50.06409767971764	53.76755602093448	0.7035962444101562	0.2964037555898433	0.0	0.027073716286977093	0.07694975237512183	1.0	0.05852128070688198
190000	-101.98992418573752	-49.860557158252725	-52.1293670274848	-49.860557158252725	48.14133615178039	0.5991879796005488	0.4008120203994506	0.0	0.021871273418468683	0.12383172423782893	1.0	0.10724932281179105
200000	-106.85164154950527	-53.51531987148307	-53.3363216780222	-53.51531987148307	46.37716250206626	0.6056434613260775	0.394356538673922	0.0	0.038619302423204126	0.09619798746699787	1.0	0.04812445941974578
210000	-105.02808733257021	-51.90763284901024	-53.120454483559975	-51.90763284901024	52.740085846788624	0.39728805361352637	0.6027119463864733	0.0	0.04000278921392548	0.1212693479140052	1.0	0.1399884963295952
220000	-105.72441938095625	-52.226004410455225	-53.498414970501024	-52.226004410455225	51.36009308246662	0.6105922666862859	0.38940773331371376	0.0	0.03725356319874051	0.12628123771699545	1.0	0.12206811253406338
230000	-100.8744543937508	-50.33460465825078	-50.53984973550002	-50.33460465825078	50.68263977302642	0.6728433356810475	0.32715666431895224	0.0	0.04783281866579084	0.21008047842279232	1.0	0.20696405208116317
240000	-104.84918731933385	-50.74344525584693	-54.10574206348692	-50.74344525584693	50.063730462656856	0.2787627261353867	0.7212372738646131	0.0	0.02062646824730067	0.23851771568103902	1.0	0.17736419497815345
250000	-105.78553304309679	-49.533023864322836	-56.25250917877395	-49.533023864322836	47.50312769716741	0.595971255349569	0.4040287446504308	0.0	0.02623149341264788	0.11139149505207004	1.0	0.10983122861578222
260000	-102.28227232240144	-50.45075049366026	-51.831521828741174	-50.45075049366026	47.5329765315216	0.5878252639067942	0.41217473609320565	0.0	0.03246035417858434	0.3008688545132423	1.0	0.31693917961316886
