cell	clone
7376548	50/51/52/53/54
7404361	0
7756536	50/51/52/53/54
7798648	0
7852180	70
7927057	5
7946325	1/7/10/13/16/18/20/29/35/36/38
7955816	44
8019416	8/11/12/19/22/24/25/27/39/40/41/56
8030291	50/51/52/53/54
8107891	1/7/10/13/16/18/20/29/35/36/38
8121126	61/66/68
8139676	61/66/68
8149922	74
8157247	8/11/12/19/22/24/25/27/39/40/41/56
8197888	50/51/52/53/54
8199602	46
8210149	46
8215666	0/1/3
8216374	0
8226386	4
8227398	0
8228096	0
8233977	0
8236617	0
8238166	0
8239089	0
8239639	1/7/10/13/16/18/20/29/35/36/38
8251338	1/7/10/13/16/18/20/29/35/36/38
8268422	61/66/68/70
8273296	70
8273710	70
8274678	61/66/68
8276100	70
8282770	61/66/68
8286094	70
8287092	70
8288399	70
8300153	70
8300868	61/66/68
8301237	61/66/68
8319363	57/62
8334431	71
8334643	71
8339816	50/51/52/53/54
8350472	50/51/52/53/54
8350540	50/51/52/53/54
8354062	46
8366986	46
8368396	60
