cell	clone
11834969	18
12088367	29/33/35/36
12419992	0/1
12570049	55/56
12578291	21/28/30/50/52
12624963	0/1
12855472	22
13013042	47/51/53/54/59/64
13180001	55/56
13268214	7/8/10/12/13/14
13307575	29/33/35/36
13311487	29/33/35/36
13345984	55/56
13366255	55/56
13378111	61
13392476	55/56
13400061	55/56
13403301	55/56
13444494	0/1/4
13455214	0/1
13456226	0/1
13462805	0/1
13465445	4
13467917	0/1
13480166	7/8/10/12/13/14/18/20
13497250	29/33/35/36
13502124	39
13502538	39
13504928	29/33/35/36
13511598	41
13514922	41
13515920	29/33/35/36
13517227	29/33/35/36
13528981	29/33/35/36
13530065	29/33/35/36
13552163	55/56
13560572	55/56
13563089	55/56
13563484	55/56
13569644	55/56
13576385	55/56
13579321	55/56
13581832	55/56
13591261	55/56
13606067	55/56
13614362	55/56
13622420	24/31/38
13637812	21/28/30
13648421	47/51/53/54/59/64
13657456	47/51/53/54/59/64
