cell	clone
6298167	27/32/46
6542733	16/23/31/38
6609955	0
6795122	35/42
6824920	16/23/31/38
6923147	5/6/9/15/20
6972677	50
7006525	54/61
7110629	16/23/31/38
7137509	27/32
7147328	19/21/28/37
7149332	19/21/28/37/54/61/62
7178684	0
7186776	2
7201064	5/6/9/15/17
7212838	5/6/9/15/20
7240577	8/30
7291434	19/21/28/37
7309317	0
7310025	1
7320037	0
7321049	3
7321747	4
7327628	0
7330268	0
7331817	0
7332740	1
7333290	2
7344989	5/6/9/15/18
7362073	8/33/34
7366947	35/42
7367361	35/42
7368329	35
7369751	35
7376421	8/30/39
7379745	8/30/36
7380743	8/30/36
7382050	41
7393804	7/12/13
7394519	50
7394888	50
7413014	27/32/45
7426242	27/32
7428082	27/32
7428294	27/32
7433467	40/44
7440011	19/21/28/37/54/57/58
7444123	19/21/28/37
7444191	54/61/62
7447713	54
