cell	clone
7309341	5
7439724	30
7489352	0
7494355	0
7564893	42
7601332	0
7602804	25
7635809	4/13/22/29
7652847	35/36
7667564	42
7671283	42
7723905	7/10/11/15
7727906	4/13/22/29/31
7745594	30
7755374	44
7759072	45/46
7769033	42
7772546	42
7780326	0/6
7781273	0
7781981	5
7791993	0
7793005	0
7793703	0
7799584	0
7802224	6
7803773	0
7804696	0
7805246	7/10/11/15
7816945	23
7831497	4/13/22/29
7834029	30
7835617	30
7835746	4/13/22/29
7838903	30
7839317	31
7840285	30
7841707	31
7848377	30
7851701	4/13/22/29
7852699	32/33
7854006	30
7859702	41
7865760	42
7865765	42
7866475	42
7866844	42
7871348	42
7882405	8/12/17/27/28/49
7883522	8/12/17/27/28/48
