node	tissue
GL	P
0	P
0-P	P
1	P
1-P	P
5	P
5-P	P
30	P
30-P	P
259	P
259-P	P
375-P	P
338-P	P
354-P	P
404-P	P
414-P	P
451-P	P
41-230-P	P
45	P
45-P	P
180-336-P	P
463-P	P
224	P
224-P	P
452-P	P
374-P	P
411-P	P
420-P	P
421-P	P
449-P	P
461-P	P
17-55	P
17-55-P	P
349-P	P
43	P
43-P	P
233-P	P
254-288-P	P
64-306	P
64-306-P	P
403-P	P
460-P	P
471-P	P
6	P
6-P	P
14-93-110-P	P
21	P
21-P	P
107-P	P
46	P
46-P	P
236-P	P
466-P	P
132-P	P
419-P	P
459-P	P
16	P
16-P	P
59-P	P
60	P
60-P	P
382	P
382-P	P
448-P	P
124	P
124-P	P
185-263-P	P
223-P	P
286-317	P
286-317-P	P
468-P	P
355-P	P
417-P	P
454-P	P
456-P	P
51-71	P
51-71-P	P
234-278-P	P
54	P
54-P	P
249	P
249-P	P
422	P
422-P	P
458-P	P
469-P	P
72-83	P
72-83-P	P
245-379	P
245-379-P	P
450-P	P
73	P
73-P	P
470-P	P
79	P
79-P	P
409-P	P
465-P	P
84	P
84-P	P
373-P	P
383-P	P
89	P
89-P	P
412-P	P
96-345-P	P
159-P	P
161	P
161-P	P
472-P	P
187	P
187-P	P
314	P
314-P	P
410-P	P
217	P
217-P	P
453-P	P
308-P	P
309-P	P
341-406-P	P
342-P	P
343	P
343-P	P
457-P	P
352	P
352-P	P
462-P	P
413-P	P
418-P	P
455-P	P
464-P	P
467-P	P
0-M1	M1
292-M1	M1
473-M1	M1
474-M1	M1
6-M3	M3
331-M3	M3
496-M3	M3
497-M3	M3
184-277-M3	M3
371-M3	M3
401-M3	M3
445-M3	M3
48-M4	M4
116-172-M5	M5
446-M5	M5
168-M5	M5
302-M5	M5
217-M7	M7
M4-0	P
116-172	M5
168	M5
184-277	M3
M1-0	M1
M3-1	M3
