Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	editRate.14	editRate.15	editRate.16	editRate.17	editRate.18	editRate.19	silencingRate	clockRate.c	birthRate	rho	deathRate
0	-3683.5698656468285	-2854.44975418189	-829.1201114649385	-2854.44975418189	54.00000190000002	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0526	0.0532	0.0	1.0	0.6	1.0	0.01
10000	-316.22960445921643	-141.18715544029297	-175.04244901892346	-141.18715544029297	53.47979115985657	0.05898523780503342	0.0526	0.0526	0.06826801987663114	0.008325816179651689	0.06889189545443489	0.03693198012336887	0.0526	0.02791096953949348	0.09687418382034832	0.0700211357490326	0.07577807395085615	0.07728903046050653	0.0526	0.046214762194966584	0.019941245653554283	0.05154572314297825	0.052052837671526596	0.030569088377617265	0.0	0.016660581765024295	0.055486267545192675	1.0	0.008950465994636801
20000	-319.2425808686244	-142.59256976341402	-176.65001110521038	-142.59256976341402	52.05388942185662	0.05898523780503342	0.04110540349114269	0.0526	0.06051975507999033	0.13211871366988773	0.06662777162011327	0.09646448227456952	0.0518405947621188	0.07633725950220985	0.02476346408977595	0.0700211357490326	0.03972530124904741	0.005026279783226145	0.008158308333483986	0.04287201510656782	0.019941245653554283	0.0821310253056732	0.052052837671526596	0.018709168853046493	0.0	0.012955874907710885	0.07847315484052748	1.0	0.025000684440251546
30000	-318.9545227408645	-142.14459283627113	-176.8099299045934	-142.14459283627113	53.22764618834562	0.05898523780503342	0.04110540349114269	0.03449403715166257	0.06051975507999033	0.15298854093790173	0.06662777162011327	0.1304131248220445	0.0518405947621188	0.07633725950220985	0.02476346408977595	0.0700211357490326	0.03972530124904741	0.005026279783226145	0.008158308333483986	0.08055666117799312	0.019941245653554283	0.028603699535110355	0.03118301040351259	0.018709168853046493	0.0	0.010025879268703304	0.054971633304248896	1.0	0.012012397823698909
40000	-333.6057433957649	-149.9194431323137	-183.68630026345122	-149.9194431323137	53.117348009674984	0.05898523780503342	0.04110540349114269	0.03449403715166257	0.06051975507999033	0.15298854093790173	0.06662777162011327	0.1304131248220445	0.0518405947621188	0.07633725950220985	0.02476346408977595	0.0700211357490326	0.03972530124904741	0.005026279783226145	0.008158308333483986	0.08055666117799312	0.019941245653554283	0.028603699535110355	0.03118301040351259	0.018709168853046493	0.0	0.01237041466266815	0.04030132435885039	1.0	0.006058239527194024
50000	-330.66365121960416	-144.63117769380986	-186.03247352579427	-144.63117769380986	53.69991823815518	0.05099660511772092	0.04110540349114269	0.03449403715166257	0.06051975507999033	0.15298854093790173	0.06662777162011327	0.1304131248220445	0.06655221916676146	0.08191575241611176	0.02476346408977595	0.034112667805185015	0.03972530124904741	0.005026279783226145	0.008158308333483986	0.0749781682640912	0.019941245653554283	0.013892075130467696	0.06709147834736018	0.026697801540358994	0.0	0.008325439649230517	0.05042501492971004	1.0	0.005320509626516812
60000	-321.66189759463435	-146.78387853628658	-174.87801905834777	-146.78387853628658	50.815665010526956	0.06740377147927633	0.04110540349114269	0.03449403715166257	0.06051975507999033	0.014966794305881298	0.05022060525855786	0.1304131248220445	0.06655221916676146	0.08191575241611176	0.02476346408977595	0.034112667805185015	0.17774704788106785	0.005026279783226145	0.008158308333483986	0.0749781682640912	0.019941245653554283	0.013892075130467696	0.06709147834736018	0.026697801540358994	0.0	0.013009631079431302	0.07636870129639452	1.0	0.03866179449567471
70000	-311.3308187383909	-141.88256943825164	-169.44824930013925	-141.88256943825164	52.2887924057847	0.06740377147927633	0.04110540349114269	0.03449403715166257	0.06051975507999033	0.014966794305881298	0.05022060525855786	0.1304131248220445	0.06655221916676146	0.08191575241611176	0.02476346408977595	0.034112667805185015	0.17774704788106785	0.005026279783226145	0.008158308333483986	0.0749781682640912	0.019941245653554283	0.013892075130467696	0.06709147834736018	0.026697801540358994	0.0	0.01239970419416081	0.08475032570202524	1.0	0.030954649685081485
80000	-308.48035421068494	-141.15747176448787	-167.3228824461971	-141.15747176448787	50.35625238048634	0.06740377147927633	0.04110540349114269	0.13657702221778886	0.06051975507999033	0.014966794305881298	0.05022060525855786	0.1304131248220445	0.06655221916676146	0.08191575241611176	0.02476346408977595	0.026966734079975845	0.07566406281494156	0.005026279783226145	0.008158308333483986	0.0749781682640912	0.019941245653554283	0.013892075130467696	0.06709147834736018	0.033843735265568164	0.0	0.016280861710420497	0.07682934180333428	1.0	0.011314774306341403
90000	-323.8280504803853	-146.03704414536583	-177.79100633501943	-146.03704414536583	50.35625238048634	0.06740377147927633	0.04110540349114269	0.21136944951302514	0.06051975507999033	0.014966794305881298	0.05022060525855786	0.12859670002779738	0.06655221916676146	0.00712332512087549	0.02476346408977595	0.026966734079975845	0.07566406281494156	0.006842704577473267	0.008158308333483986	0.0749781682640912	0.019941245653554283	0.013892075130467696	0.06709147834736018	0.033843735265568164	0.0	0.010432443574459827	0.051147577460688085	1.0	0.011301160355991524
