cell	clone
4156297	3/11/13/18/31/36/38
4423116	3/11/13/18/31/36/38
4559872	8
4572479	20
4595483	0
4635467	45
4677043	20
4680716	20
4680878	1/7/15/17/21
4687419	0
4699778	9/24/25/26/34/40
4706220	0
4745226	46
4754627	3/11/13/18/31/36/38
4759419	45
4764560	27
4768512	1/7/15/17/21
4778632	20
4789630	0
4790577	5
4791285	0
4801297	0
4802309	2
4803007	0
4808888	5
4811528	0
4813077	2
4814000	0
4814550	4
4826249	3/11/13/18/31/36/38
4840801	45
4843333	47
4844921	46
4845050	3/11/13/18/31/36/38
4848207	45
4848621	45
4849589	3/11/13/18/31/36/38
4851011	3/11/13/18/31/36/38
4857681	3/11/13/18/31/36/38
4861005	3/11/13/18/31/36/38
4862003	3/11/13/18/31/36/38
4863310	47
4867391	1/7/15/17/21
4869006	8
4875064	20
4875069	20
4875779	1/7/15/17/21
4876148	1/7/15/17/21
4880652	8
4891709	12/50
