node	tissue	leaves	parent_node	parent_tissue	migration_event
0	t1	False			
1	t1	False	0	t1	False
2	t1	False	1	t1	False
3	t1	False	1	t1	False
4	t1	False	3	t1	False
5	t1	False	3	t1	False
6	t2	False	5	t1	True
7	t2	False	5	t1	True
8	t3	False	2	t1	True
9	t3	False	2	t1	True
10	t2	False	7	t2	False
11	t2	False	7	t2	False
12	t2	False	10	t2	False
13	t2	False	10	t2	False
14	t3	True	9	t3	False
15	t3	True	9	t3	False
16	t2	True	4	t1	True
17	t3	True	4	t1	True
18	t2	False	13	t2	False
19	t2	True	13	t2	False
20	t2	True	18	t2	False
21	t2	False	18	t2	False
22	t2	True	21	t2	False
23	t2	False	21	t2	False
24	t2	True	23	t2	False
25	t2	False	23	t2	False
26	t3	False	25	t2	True
27	t2	False	25	t2	False
28	t2	True	6	t2	False
29	t2	False	6	t2	False
30	t2	False	29	t2	False
31	t1	True	29	t2	True
32	t2	True	30	t2	False
33	t2	False	30	t2	False
34	t3	True	8	t3	False
35	t3	True	8	t3	False
36	t2	True	33	t2	False
37	t2	True	33	t2	False
38	t3	True	26	t3	False
39	t3	True	26	t3	False
40	t2	False	27	t2	False
41	t2	True	27	t2	False
42	t1	True	11	t2	True
43	t2	True	11	t2	False
44	t3	True	40	t2	True
45	t2	False	40	t2	False
46	t2	True	12	t2	False
47	t2	True	12	t2	False
48	t2	True	45	t2	False
49	t2	True	45	t2	False
