cell	clone
13552765	51
13574685	0/1
13669832	29/34/46
13721842	0/1
13751793	7/8/9/14/19
13796509	4/11/18/20/27/31/33
13803383	13/17/25/30/36
13845481	40
13873206	0/1
13887337	26
13899018	10/12/15/16/21
13907512	10/12/15/16/21
13924853	13/17/25/30/36
13943928	13/17/25/30/36/43/45
13949224	42
13966869	57
13969549	44/49
13978399	44/49
13995060	0/1
13995768	0/1
14005780	0/1
14006792	0/1
14007490	0/1
14013371	0/1
14016011	0/1
14017560	0/2
14018483	6
14019033	7/8/9/14/19
14030732	7/8/9/14/19
14047816	38
14052690	10/12/15/16/21
14053104	37
14054072	10/12/15/16/21
14055494	10/12/15/16/21
14062164	10/12/15/16/21
14065488	35
14066486	10/12/15/16/21
14067793	35
14079547	13/17/25/30/36
14080262	43/45
14080631	42
14098757	29/34/46
14111985	57
14113825	44/49
14114037	44/49
14119210	40
14125754	44/49
14129866	40
14129934	44/49
14133456	44/49
