node	tissue
GL	P
0-9-11-33	P
36-43-49-98-191	P
249-774	P
958-1175-P	P
992	P
992-P	P
1173-1193-P	P
1221-P	P
349-402-431-459-470-484-620-849-941-P	P
488-499-537-652	P
872-880-957-P	P
1043	P
1043-P	P
1220-P	P
47	P
70	P
145-193-253-564	M1
145-193-253-564-M1	M1
884	M1
884-M1	M1
1104	M1
1104-M1	M1
1207-M1	M1
1105-1119-1161	M1
1105-1119-1161-M1	M1
1222-M1	M1
1224-M1	M1
1208-M1	M1
897	M1
897-M1	M1
1206-M1	M1
1223-M1	M1
343-375-669-811-996	M1
343-375-669-811-996-M1	M1
1158-M1	M1
214-258-390-464	M2
214-258-390-464-M2	M2
593-683-1069-M2	M2
1108-M2	M2
1196	M2
1196-M2	M2
1225-M2	M2
1226-M2	M2
1227-M2	M2
256-314-364-577	M2
256-314-364-577-M2	M2
1177-M2	M2
617	M3
805-868	M3
805-868-M3	M3
949	M3
949-M3	M3
1228-M3	M3
967-982-1026-1087	M3
967-982-1026-1087-M3	M3
1014-M3	M3
1025-1033-M3	M3
969-1004-1127-M3	M3
642-648-672-728-948-1109-M3	M3
771-1000	M3
771-1000-M3	M3
1123-1178-M3	M3
937-M4	M4
767-M4	M4
951	M4
951-M4	M4
1016-1091-1110-M4	M4
1165-M4	M4
1230-M4	M4
967-982-1026-1087-M5	M5
771-1000-M5	M5
1213-M5	M5
299-629-M6	M6
954	M6
954-M6	M6
1150-M6	M6
1168-M6	M6
1187-M6	M6
1216	M6
1216-M6	M6
1234-M6	M6
1217-M6	M6
1232-M6	M6
1233-M6	M6
1006-1092	M6
1006-1092-M6	M6
1231-M6	M6
1007-1018	M6
1007-1018-M6	M6
1186-M6	M6
1200-1215-M6	M6
1075-M6	M6
1133-1201-M6	M6
1134-M6	M6
1169-M6	M6
900-M7	M7
972-991-M7	M7
1152-M7	M7
767-M8	M8
1078-M8	M8
M8-0	M8
M5-0	M5
900	M7
767	M4
139-182-428	M3
299-629	M6
85	M2
74-89	M1
