cell	clone
8110695	11/18/38
8129251	56/77
8223275	16
8282965	4/12/13/32/41/50/53
8405901	3/9/20/34/47/60
8429263	10/30/57
8442188	0/1
8481301	11/18/38/56
8507986	56/77
8523392	3/9/20/34/47/58
8540691	4/12/13/32/41/50/53
8576310	0
8584434	2
8598521	16/35/36
8632603	11/18/38
8646340	6/15/22/24/25/26/27/46
8649763	3/9/20/34/47/58
8677211	4/12/13/32/41/50/53
8692153	0/3/9
8692861	0/10
8702873	0/3
8703885	8
8704583	0
8710464	1
8713104	5
8714653	1
8715576	1
8716126	16/42
8727825	16/39
8742377	11/18/38/49
8744909	11/18/38/44
8746497	11/18/38
8749783	11/18/38
8750197	48
8751165	11/18/38
8752587	11/18/38
8759257	11/18/38
8762581	48
8763579	51
8764886	11/18/38
8770582	56/77
8776640	3/9/20/34/47/59
8777355	14/17/33/52/54/55/61
8777724	3/9/20/34/47/59
8795850	3/9/20/34/47/58
8809078	4/12/13/32/41/50/53/71
8810918	4/12/13/32/41/50/53/68
8811130	4/12/13/32/41/50/53
8816303	4/12/13/32/41/50/53
8822847	68
