cell11	t3
cell13	t2
cell14	t2
cell24	t1
cell29	t3
cell32	t2
cell37	t1
cell40	t1
cell41	t1
cell43	t2
cell44	t1
cell45	t1
cell46	t2
cell47	t2
cell49	t2
cell50	t3
cell51	t3
cell55	t2
cell56	t3
cell58	t3
cell60	t3
cell61	t3
cell62	t3
cell65	t3
cell67	t3
cell68	t1
cell69	t1
cell70	t1
cell74	t1
cell76	t3
cell77	t3
cell78	t1
cell79	t1
cell80	t3
cell82	t1
cell83	t1
cell85	t3
cell86	t2
cell87	t2
cell89	t2
cell90	t3
cell91	t3
cell92	t3
cell93	t3
cell94	t1
cell95	t1
cell96	t3
cell97	t3
cell98	t1
cell99	t1
