node	tissue	leaves	parent_node	parent_tissue	migration_event
0	t1	False			
1	t1	False	0	t1	False
2	t1	False	1	t1	False
3	t1	False	1	t1	False
4	t3	False	3	t1	True
5	t1	False	3	t1	False
6	t1	False	2	t1	False
7	t1	True	2	t1	False
8	t1	False	6	t1	False
9	t1	False	6	t1	False
10	t2	True	9	t1	True
11	t1	False	9	t1	False
12	t1	False	8	t1	False
13	t1	False	8	t1	False
14	t1	False	5	t1	False
15	t1	False	5	t1	False
16	t1	False	11	t1	False
17	t2	True	11	t1	True
18	t1	True	12	t1	False
19	t2	False	12	t1	True
20	t1	False	15	t1	False
21	t1	True	15	t1	False
22	t1	True	13	t1	False
23	t1	False	13	t1	False
24	t1	False	19	t2	True
25	t2	False	19	t2	False
26	t1	False	20	t1	False
27	t1	False	20	t1	False
28	t3	True	4	t3	False
29	t3	False	4	t3	False
30	t1	True	16	t1	False
31	t1	True	16	t1	False
32	t1	True	26	t1	False
33	t3	True	26	t1	True
34	t1	True	23	t1	False
35	t1	True	23	t1	False
36	t2	True	27	t1	True
37	t1	True	27	t1	False
38	t3	True	14	t1	True
39	t1	False	14	t1	False
40	t3	False	29	t3	False
41	t3	True	29	t3	False
42	t3	True	40	t3	False
43	t1	True	40	t3	True
44	t1	True	24	t1	False
45	t3	True	24	t1	True
46	t2	True	25	t2	False
47	t2	True	25	t2	False
48	t1	True	39	t1	False
49	t1	True	39	t1	False
