cell	clone
8257084	8/12/17/22/25
8307363	1/2
8465622	8/12/17/22/25
8491601	10/11/14/20/23/27/30/32
8514444	2/8
8561305	8/12/17/22/25
8562815	8/12/17/22/25
8566156	8/12/17/22/25
8618485	1/2/8
8671124	8/12/17/22/25
8681038	8/12/17/22/25
8682009	8/12/17/22/25
8683339	8/12/17/22/25
8689001	39/42
8695119	34/41
8711795	18/24/33/35/47/61
8735831	6
8758575	16
8761701	13
8771052	37
8780052	8/12/17/22/25
8789746	10/11/14/20/23/27/30/32
8797403	34/41
8798465	34
8802967	10/11/14/20/23/27/30/32
8814312	0
8815259	0
8815967	0
8825979	6
8826991	1
8827689	0
8833570	0
8836210	4
8837759	1
8838682	2
8839232	1
8846830	13
8848452	16
8864899	13
8872551	38
8881960	8/12/17/22/25
8886761	8/12/17/22/25
8889861	8/12/17/22/25
8891898	10/11/14/20/23/27/30/32
8895830	10/11/14/20/23/27/30/32
8902466	10/11/14/20/23/27/30/32
8905899	41
8906135	10/11/14/20/23/27/30/32
8909854	39/42
8910025	39
