cell	clone
10245112	3/4
10409076	14
10444407	26/27/28
10572758	10/11/13
10578174	18
10633247	9/12/17/19/20
10652323	46
10653990	9/12/17/19/20/46
10687414	0/1
10700381	0/1
10722333	15
10756236	26/27/28
10762901	40
10781972	22/24
10817945	45/50/54
10822949	45/53/55/57
10823631	45/53/55/57
10832723	0/1/6
10833431	0/1/3/4
10843443	3/4
10844455	2/7
10845153	0/1
10851034	6
10853674	0/1
10855223	8
10856146	0/1
10856696	2
10868395	10/11/13
10885479	25/30/32/36/43/62/63
10890353	26/27/28
10890767	21/23/29
10891735	21/23/29
10893157	21/23/29
10899827	26/27/28
10903151	31
10904149	26/27/28
10905456	26/27/28
10917210	22/24
10917925	38
10918294	38
10936420	22/24
10951488	9/12/17/19/20/41
10951700	9/12/17/19/20
10956873	9/12/17/19/20
10967529	45/53/55/57
10967597	45/50/59
10971119	45/52
10984043	45
10985453	45
10988431	45
