cell	clone
11870525	0/1
11985540	22
12032064	23/27
12200833	37
12304414	0/1
12373578	3/5/6/8/10
12377535	3/5/6/8/12/13
12432970	36
12446395	26
12490845	23/27
12499678	38/48
12525826	28/30/31/33
12554485	24
12593248	3/7/9/11/14/17/18/19
12595583	21
12659926	26
12697769	41
12709111	23/27
12725047	23/27
12766945	28/30/31/33
12769838	0/1
12780558	2/4
12781570	0/1
12788149	2/4
12793261	0/1
12822594	20
12827468	3/7/9/11/14/17/18/19
12827882	3/7/9/11/14/17/18/19
12836942	3/7/9/11/14/17/18/19
12840266	3/7/9/11/14/17/18/19
12842571	3/7/9/11/14/17/18/19
12854325	3/5/6/8/12
12855409	3/5/6/8/10
12888603	22
12888815	26/37
12893988	26
12904712	22
12908234	22
12925546	23/27/43
12926847	23/27
12937186	43
12939589	23/27
12942485	23/27
12951537	23/27
12973021	3/5/6/8/10
12986629	57
12986748	57
12994714	39/45
12999391	39/45
13010323	60
