cell	clone
10006105	44/47/48/49/51/55
10010979	44/47/48/49/51/55
10011393	60
10012361	62
10013783	44/47/48/49/51/55
10020453	44/47/48/49/51/55
10023777	44/47/48/49/51/55
10024775	44/47/48/49/51/55
10026082	44/47/48/49/51/55
10037836	29
10038551	29
10038920	11
10072114	9/15/19/20/21/23/41/43
10072326	45
10077499	9/15/19/20/21/23/41/43
10088223	17/38/46
10091745	17/38/46
10104669	17/38/46
10106079	17/38/46
10109057	17/38/46
10110358	28
9421601	18/34/53/57
9493927	2
9566953	11
9650040	0
9666280	60
9705437	44/47/48/49/51/55
9719940	29
9750708	45
9796009	0
9841084	44/47/48/49/51/55
9868850	11/29
9909224	9/15/19/20/21/23/41/43
9921439	6/12/14/22/25
9927548	17/38/46
9929282	17/38/46
9940805	28
9949148	17/38/46
9950823	63/71
9951575	63/71
9953349	0/3
9954057	0
9964069	0
9965081	1
9971660	3
9974300	3
9975849	5/7
9976772	0
9977322	44/47/48/49/51/55
9989021	44/47/48/49/51/55
