cell	clone
10013518	19/33/39/53/57
10026746	3/6/8/11/32/52/55/59/61/66/68
10028586	69
10028798	3/6/8/11/32/52/55/59/61/66/68
10033971	3/6/8/11/32/52/55/59/61/66/68
10040515	71
10044627	69
10044695	71
10048217	72/73
9343482	71
9423150	10/13/15/17/22
9433267	10/13/15/17/22
9521236	14/16/18/26/28/34/36/38/60/70/75
9583277	19/33/39/53/56
9664706	14/16/18/26/28/34/36/38/60/70/75
9693183	10/13/15/17/22
9711398	19/33/39/53/56
9734331	69
9746380	69
9752852	74
9754621	72/73
9773961	0
9778975	0
9787056	1
9811363	14/16/18/26/28/34/36/38/60/70/75
9819072	14/16/18/26/28/34/36/38/60/70/75
9848336	10/13/15/17/22
9909821	0
9910529	4
9920541	0
9921553	0
9922251	0
9928132	0
9930772	2
9932321	2
9933244	0
9933794	5
9945493	14/16/18/26/28/34/36/38/60/70/75
9962577	14/16/18/26/28/34/36/38/60/70/75
9967451	14/16/18/26/28/34/36/38/60/70/75
9967865	14/16/18/26/28/34/36/38/60/70/75
9968833	14/16/18/26/28/34/36/38/60/70/75
9970255	14/16/18/26/28/34/36/38/60/70/75
9976925	10/13/15/17/22
9980249	10/13/15/17/22
9981247	10/13/15/17/22
9982554	7/20
9994308	25
9995023	10/13/15/17/23/24
9995392	10/13/15/17/22
