cell	clone
8196817	12/18/34/69/81
8325761	0/4/5
8374617	66
8419345	87/90
8445163	0
8453106	2/8
8480330	17/20/26/31/40/51
8488114	17/20/26/31/40/51
8496953	66
8502529	17/20/26/31/40/51
8512168	77
8523615	13/22/25/28/37/56/59
8536749	94
8553821	0/2/3/6
8598621	66
8600216	66
8603404	17/20/26/31/40/51
8606194	17/20/26/31/40/51
8616045	70/72
8617021	17/20/26/31/40/51
8623338	21/23/24/27/43/47/71/74
8629738	21/23/24/27/43/47/65
8639184	13/22/25/28/37/56/59
8662840	0/1
8663548	0/4/5
8673560	0
8674572	2/8
8675270	1/7/10
8681151	0
8683791	0
8685340	9
8686263	0
8687509	17/20/26/31/35
8687979	39
8700439	17/20/26/31/35
8705943	17/20/26/31/35
8711026	42
8720132	17/20/26/31/40/51
8729541	66
8734342	73
8739527	21/23/24/27/43/47/71/74
8739741	21/23/24/27/43/47/71/74
8746309	77
8752624	64
8753266	64
8757785	13/22/25/28/37/56/59
8758979	76
8765090	12/18/34/69/81/87
8766538	12/18/34/69/81
8779766	12/18/34/69/81
