cell	clone
8023091	14/15/36/38/44/47/48/49
8058033	4
8094633	10/16/22/28/32
8129258	58/71/76
8143409	27/50/52/56
8162293	7/8
8167380	5
8175395	2
8189370	10/16/22/24/27
8201056	10/16/22/24/27
8209418	14/15/36/38/44/47/48/49
8218778	11/18/20/23/25/29/39/43
8223597	11/18/20/23/25/29/39/43
8228740	14/15/36/38/44/47/48/49
8251960	66/67
8252773	62
8253123	62
8255124	0/1
8256071	2
8256779	0/1
8266791	0/1
8267803	0/1
8268501	4
8274382	6
8277022	0/1
8278571	0/1
8279494	3
8280044	2
8291743	10/16/22/24/27
8306295	10/16/22/24
8308827	11/18/20/23/25/29/39/43
8310415	14/15/36/38/44/47/48/49
8310544	14/15/36/38/44/47/48/49
8313701	14/15/36/38/44/47/48/49
8314115	11/18/20/23/25/29/39/43
8315083	11/18/20/23/25/29/39/43
8316505	54
8323175	11/18/20/23/25/29/39/43
8326499	11/18/20/23/25/29/39/43
8327497	11/18/20/23/25/29/39/43
8328804	14/15/36/38/44/47/48/49
8334500	58/80
8340558	27/50/52/56
8340563	62/66/67
8341273	27/50/52/56
8341642	27/50/52/56
8346146	27/50/52/56
8357203	27/50/52/56
8358320	27/50/52/56
8359768	40/41/53/63/68/69/73/83
