node	tissue
GL	P
0	P
12-179-181-194-344-498-573	P
12-179-181-194-344-498-573-P	P
884	P
1222-P	P
921-1017	P
921-1017-P	P
1163-P	P
1164-P	P
1238-P	P
1279-P	P
1278-P	P
152-182-209	M1
242	M1
314-346-480	M1
314-346-480-M1	M1
668-753-890-903-927	M1
668-753-890-903-927-M1	M1
1282-M1	M1
1283-M1	M1
953	M1
953-M1	M1
1281-M1	M1
965-1240-M1	M1
1267-M1	M1
1280-M1	M1
1033-M1	M1
442-489	M2
442-489-M2	M2
824-939	M2
824-939-M2	M2
1242	M2
1242-M2	M2
1287-M2	M2
1249-M2	M2
958-1023	M2
958-1023-M2	M2
1250-M2	M2
1251	M2
1251-M2	M2
1284-M2	M2
1270-M2	M2
1214	M2
1214-M2	M2
1288-M2	M2
1289-M2	M2
1285-M2	M2
1286-M2	M2
248-331-399-M3	M3
1171-M3	M3
994-1006-M3	M3
1291-M3	M3
884-M5	M5
921-1017-M5	M5
1293-M5	M5
824-939-M8	M8
M3-1	M3
248-331-399	M2
M5-0	M5
