node	tissue
GL	P
0-1	P
7	P
23	P
48-222-249-603	P
48-222-249-603-P	P
1033-1236-1388-P	P
1109-P	P
1130-P	P
1164-P	P
1298-P	P
1302-P	P
1387-P	P
1391-P	P
117-158-205	M1
396-429-567	M1
669-688-806	M1
669-688-806-M1	M1
902	M1
902-M1	M1
1361-M1	M1
1362-M1	M1
1429-M1	M1
757	M1
757-M1	M1
1133-M1	M1
1452-M1	M1
1454-M1	M1
637-M1	M1
914-1035	M1
914-1035-M1	M1
1208	M1
1208-M1	M1
1240	M1
1240-M1	M1
1427-M1	M1
1430	M1
1430-M1	M1
1456-M1	M1
1453-M1	M1
1209	M1
1209-M1	M1
1395-M1	M1
1306	M1
1306-M1	M1
1396-M1	M1
1339	M1
1339-M1	M1
1455-M1	M1
23-M2	M2
1311-M2	M2
3-51-91-199-322-516-M3	M3
1041	M3
1041-M3	M3
1273	M3
1273-M3	M3
1460-M3	M3
1461-M3	M3
1089	M3
1089-M3	M3
1432-M3	M3
1092	M3
1092-M3	M3
1463-M3	M3
1117-M3	M3
1145-1247-M3	M3
1274-M3	M3
1462-M3	M3
669-688-806-M7	M7
M2-0	M2
3-51-91-199-322-516	M3
