cell	clone
6182537	27/30/61
6197407	5/7
6228917	26
6254323	41/43
6259166	8/9/11/13/16/21/24/34/40
6279778	4/8/9/11
6301537	15/23
6345929	27/30/61
6359534	2/3
6371806	6
6379931	2/3
6386190	15/23
6399351	15/18
6414211	10/12/14/17/20/35
6433311	28/36/44/60/64/68
6442367	59/65
6443199	0
6444146	0
6444854	0
6450553	0
6454866	0
6455878	2/3
6456576	6
6462457	5/7
6465097	4
6466646	0
6467569	0
6467901	0
6468119	0
6479818	15/18
6491839	15/18
6494370	10/12/14/17/20/35
6496902	41/43
6498490	56
6498619	8/9/11/13/16/21/24/34/40/48/52
6501776	8/9/11/13/16/21/24/34/40
6502190	8/9/11/13/16/21/24/34/40
6503158	10/12/14/17/20/35
6503830	56
6504580	54
6511250	49
6514574	10/12/14/17/20/35
6515572	48/52
6516879	10/12/14/17/20/35
6520960	28/36/44/60
6522575	27/30/61
6528633	15/22/25/29/32/38/45/50/58/67/71
6528638	15/22/25/29/32/38/45/50/58/67/71
6529348	15/22/25/29/32/38/45/50/58
6529717	72
