cell	clone
12108134	0
12197938	40
12297545	2/3
12309077	2/3
12409115	58/68
12416584	47
12612136	0
12671121	6/17
12720641	23/31/39/41/61/63/64
12727177	67/69
12749831	79
12800581	2/3
12854154	6/17/40
12866388	21/25/36/38/45
12885724	23/31/39/41/61/63/64
12892334	23/31/39/41/61/63/64
12913288	80
12915778	47
12916928	79
12923961	0
12924669	0
12934681	1
12935693	0
12942272	0
12944912	0
12947384	0
12947934	0
12959633	8/10/11/12/16
12976717	2/4/5/7/9/13/18/22/24/27/32
12981591	2/4/5/7/9/13/18/22/24/27/28/30/33/34
12982005	2/4/5/7/9/13/18/22/24/27/28/30/33/34
12982973	2/4/5/7/9/13/18/22/24/27/28/30/33/34
12984395	2/4/5/7/9/13/18/22/24/27/37
12991065	2/4/5/7/9/13/18/22/24/27/32
12994389	2/4/5/7/9/13/18/22/24/27/32
12995387	2/4/5/7/9/13/18/22/24/27/32
12996694	2/4/5/7/9/13/18/22/24/27/28/30/33/34
13008448	42
13009163	40
13009532	49/55
13042726	21/25/36/38/56
13042938	21/25/36/38/48/52
13048111	21/25/36/38/56
13058835	23/31/39/41/61/63/64
13062357	67/69
13075281	58/68
13076691	57
13079669	57
13080970	47
13091309	47
