	0	1	2	3	4	5	6	7	8	9
0_P	0	81	0	78	98	94	46	27	66	98
4_P	81	66	86	67	27	99	27	29	40	18
1_P	3	0	54	21	8	0	0	19	67	0
3_P	30	12	77	0	39	18	79	22	3	9
5_P	46	7	56	0	56	78	93	-1	97	0
1_M2	0	82	9	93	-1	96	3	0	5	52
2/12/16/21/24_M2	9	83	58	27	81	86	98	86	27	80
37_M2	62	5	79	78	40	81	3	44	27	3
8/11/15/19/20_M1	47	24	4	5	0	0	0	29	35	0
26_M1	47	81	7	27	21	44	25	73	47	29
13/14/17/18/23/27/36/46_M4	59	52	81	46	25	63	0	70	8	42
6/7/9/10/22/33/45/52/53/59_M5	19	0	77	0	46	7	67	25	0	29
65_M5	22	59	81	27	0	18	85	17	99	21
66_M5	5	0	18	2	29	0	0	8	75	82
67/69_M5	58	27	0	92	67	0	61	67	81	8
34/35_M2	68	86	92	0	3	25	71	75	27	0
40_M2	99	29	0	39	0	88	94	0	27	81
44_M2	34	0	63	25	0	12	16	0	27	13
28_M1	47	18	0	4	3	3	5	27	0	0
29_M1	47	81	8	4	27	81	55	29	5	78
30_M1	47	67	63	56	22	79	30	0	17	29
32_M3	47	34	18	63	29	27	4	25	80	8
32_M8	47	39	80	21	45	51	33	81	82	51
48_M4	51	67	18	51	18	30	91	96	8	21
50_M4	0	82	52	0	38	0	67	61	8	33
51_M4	0	0	0	3	78	0	12	0	8	47
62_M5	3	27	73	88	73	0	100	39	38	46
39_M2	0	81	9	9	0	61	7	0	27	25
42_M2	95	0	9	81	8	0	0	0	27	79
31/38/41/43_M3	47	74	82	24	37	0	0	2	30	0
47_M3	47	4	99	77	33	81	0	51	81	66
54/56/64_M6	47	25	29	11	38	0	18	77	8	18
71_M6	47	61	0	40	67	0	0	3	85	0
73_M6	47	17	81	70	81	85	59	29	39	0
49_M4	30	30	12	40	89	40	3	78	8	18
63_M5	25	0	81	0	67	53	81	52	82	78
68_M5	99	67	59	27	29	81	25	81	81	8
70_M5	25	0	79	55	69	81	29	0	0	0
55/57/61_M6	47	78	29	52	86	0	99	7	25	0
72_M6	47	81	96	9	53	0	29	14	0	24
58/60_M7	16	51	0	0	5	0	0	0	8	3
74_M7	81	0	81	13	3	83	98	0	8	33
