cell	clone
6666453	0/6
7362324	9/14
7419368	18/27
7535541	18/27
7560420	42
7567643	45
7612468	16
7616386	9/14
7708190	0
7716284	6
7749384	9/14
7758798	23
7763595	23
7768679	23
7772638	28
7779202	39
7796573	36
7798183	18/27
7819181	0/1/2/8/10/11/12
7819889	0/1/5
7829901	0/1
7830913	0/6
7831611	0/6
7837492	1/2/4
7840132	1/5
7841681	3
7842604	3
7843154	9/14/20/29/37
7854853	9/14/18
7869405	9/14
7871937	9/14
7873525	9/14
7876811	16
7877225	1/2/8/10/11/12/21/23
7878193	1/2/8/10/11/12/21
7879615	23
7886285	23
7889609	23
7890607	23
7891914	28/32/34
7897610	23
7903668	18/27
7903673	18/27
7904383	18/26
7904752	18/26
7922878	18/27
7936106	31
7937946	42
7938158	42
7943331	40
