node	tissue
GL	P
0-3-7	P
18-26-90-95	P
440-564-577-659-678-707-1012	P
440-564-577-659-678-707-1012-P	P
1438-P	P
1453-P	P
1510-P	P
1532-P	P
1534-P	P
443	P
634	P
855-P	P
1051	P
1051-P	P
1196-1239-1479	P
1196-1239-1479-P	P
1513-P	P
1307	P
1307-P	P
1509-P	P
1530-P	P
1477-P	P
669-808-1055-1331-1392-1415-P	P
738	P
966	P
966-P	P
1351	P
1351-P	P
1533-P	P
1531-P	P
1095-P	P
38-46-105-113	M1
448-455	M1
448-455-M1	M1
529-1057-M1	M1
1117	M1
1117-M1	M1
1535-M1	M1
1420-M1	M1
1421	M1
1421-M1	M1
1514-M1	M1
1456-M1	M1
551	M1
551-M1	M1
1136	M1
1136-M1	M1
1224-1292-M1	M1
1536-M1	M1
1136-M2	M2
355-452-574-734-911-923-M4	M4
1210-1300	M4
1210-1300-M4	M4
1469	M4
1469-M4	M4
1544-M4	M4
1432	M4
1432-M4	M4
1519	M4
1519-M4	M4
1545-M4	M4
1448-M4	M4
1051-M4	M4
966-M9	M9
355-452-574-734-911-923	M4
M3-0	M3
