node	tissue
GL	P
0-1	P
46-81-107-209	P
479-597	P
479-597-P	P
1162-1684-P	P
1982-P	P
2013-P	P
503-530-635-679-1025	P
1249-1382	P
1249-1382-P	P
1861-1897-1953-P	P
1954-1980-P	P
1406	P
1406-P	P
1459	P
1459-P	P
1828	P
1828-P	P
2012-P	P
2015-P	P
529-762-881-1250	P
1645	P
1645-P	P
1923-1955-P	P
2014-P	P
1683-P	P
483	M1
483-M1	M1
1107	M1
1107-M1	M1
1359-1624-1686-1770	M1
1359-1624-1686-1770-M1	M1
2020-M1	M1
1807-M1	M1
1868-M1	M1
1651-1809	M1
1651-1809-M1	M1
1959-M1	M1
1772	M1
1772-M1	M1
1836	M1
1836-M1	M1
1987-M1	M1
1960-M1	M1
2017-M1	M1
2019-M1	M1
1776-M1	M1
1833-M1	M1
1990-M1	M1
2018-M1	M1
658-845	M1
658-845-M1	M1
1029	M1
1029-M1	M1
1345-1410	M1
1345-1410-M1	M1
1929	M1
1929-M1	M1
2021-M1	M1
1435	M1
1435-M1	M1
1804	M1
1804-M1	M1
1930-M1	M1
1957-M1	M1
1986-M1	M1
2016-M1	M1
1387-1490	M1
1387-1490-M1	M1
1735-1803-M1	M1
1961-M1	M1
2022-M1	M1
736-888-1344-1437	M1
736-888-1344-1437-M1	M1
1712-1774	M1
1712-1774-M1	M1
1988-M1	M1
64-427-492-520	M2
936	M2
936-M2	M2
1068	M2
1068-M2	M2
1471	M2
1471-M2	M2
1935	M2
1935-M2	M2
1965	M2
1965-M2	M2
2026-M2	M2
1996-M2	M2
1693-M2	M2
1130-1282-1440	M2
1130-1282-1440-M2	M2
1690-1872-M2	M2
1714	M2
1714-M2	M2
1962-M2	M2
2023-M2	M2
84-108-334-380-524-584-1049-1108	M2
84-108-334-380-524-584-1049-1108-M2	M2
1327	M2
1327-M2	M2
1779-M2	M2
1873-M2	M2
2024-M2	M2
1993	M2
1993-M2	M2
2025-M2	M2
1995-M2	M2
1435-M3	M3
483-M4	M4
2028-M4	M4
175-265-690-M4	M4
724	M4
835-1628-M4	M4
1098-1134-M4	M4
1133-1150-1444	M4
1783-M4	M4
1878-M4	M4
1584-M4	M4
1630-1696	M4
1630-1696-M4	M4
2027-M4	M4
1748-1817-M4	M4
1137	M5
1137-M5	M5
1294	M5
1294-M5	M5
2000-M5	M5
1585-1664	M5
1585-1664-M5	M5
1786-M5	M5
1940-M5	M5
1724	M5
1724-M5	M5
1884	M5
1884-M5	M5
2030-M5	M5
2029-M5	M5
1751-1882-M5	M5
1999-M5	M5
400-408-595-698-969-1270-M6	M6
1508	M6
1508-M6	M6
1790	M6
1790-M6	M6
2031-M6	M6
1916-M6	M6
2001-M6	M6
2032-M6	M6
2002-M6	M6
2003-M6	M6
1376	M10
1893	M10
1893-M8	M8
175-265-690-M9	M9
2033-M9	M9
814-M10	M10
1376-M10	M10
1893-M10	M10
2010-M10	M10
2038-M10	M10
1431	M10
1431-M10	M10
1511	M10
1511-M10	M10
1973-M10	M10
2007-M10	M10
2008-M10	M10
2036-M10	M10
1975-M10	M10
2037-M10	M10
1794-M10	M10
1976-M10	M10
1236	M11
1236-M11	M11
1484	M11
1484-M11	M11
1705-1859-M11	M11
1729-M11	M11
1798	M11
1798-M11	M11
1950-M11	M11
1799-M11	M11
2039-M11	M11
2040-M11	M11
1387-1490-M12	M12
2041-M12	M12
M9-0	M9
M12-0	M12
M4-0	M4
814	M10
400-408-595-698-969-1270	M6
20-69-158-171	M1
175-265-690	M4
13-16-42	M2
