cell	clone
5092815	16
5146545	8/10/17/22/24
5261633	7/20
5266487	7/20
5282184	43
5299393	18/19/35/37
5312127	18/19/34
5334889	5/12
5346405	25
5355532	21/23
5455466	0/1/2/3
5475776	21/23/25
5503090	7/20
5526527	41
5536631	8/10/17/22/24
5540537	8/10/17/22/24
5540722	8/10/17/22/24
5552122	45
5571310	0/1/2/3
5572018	5/12
5582030	0/1/2/3
5583042	0/1/2/3
5583740	0/1/2/3
5589621	16
5592261	0/1/2/3
5593810	0/1/2/3
5594733	0/1/2/3
5595283	6
5606982	21/23/25
5621534	7/20
5624066	7/20
5625654	42
5628940	7/20
5629354	7/20
5630322	7/20
5631744	7/20
5638414	7/20
5641738	42
5642736	7/20
5644043	7/20
5649739	8/10/17/22/24
5655797	8/10/17/22/24
5655802	8/10/17/22/24
5656512	8/10/17/22/24
5656881	8/10/17/22/24
5675007	18/19/35/37
5688235	18/19/34
5690075	52
5690287	52
5695460	18/19/34
