node	tissue
GL	P
0	P
4-125	P
4-125-P	P
303-463	P
303-463-P	P
1061-P	P
449-554	P
449-554-P	P
662	P
662-P	P
1129-P	P
1130-P	P
1118-P	P
480-495	P
480-495-P	P
1020	P
1020-P	P
1089-P	P
1095-P	P
1122-P	P
1127-P	P
483-651	P
483-651-P	P
1031-P	P
1098-P	P
1136-P	P
535-728	P
535-728-P	P
1005-P	P
1021-1053-P	P
1094-P	P
683	P
804-995-P	P
840-P	P
746-762-P	P
833	P
833-P	P
964-P	P
853-1087-P	P
856	P
939-P	P
962-P	P
993-P	P
1034-P	P
14-27-30	P
59	P
87-142	P
194	P
416-477	P
838-1055-P	P
887	P
887-P	P
1134-P	P
601-671	P
799-857-P	P
943-P	P
603	P
649	P
649-P	P
867	P
867-P	P
1003-1029-P	P
1057	P
1057-P	P
1128-P	P
1133-P	P
1135-P	P
1121-P	P
1132-P	P
744	P
744-P	P
1049-P	P
1088-P	P
1091-P	P
1123-P	P
263-371	P
263-371-P	P
1092-P	P
1120-P	P
1125-P	P
288-348	P
288-348-P	P
1019	P
1019-P	P
1126-P	P
1033-P	P
1060	P
1060-P	P
1131-P	P
1124-P	P
94-160	P
283	P
283-P	P
327	P
363-380-396-P	P
417	P
417-P	P
1050-P	P
1119-P	P
966-P	P
1051-P	P
1052-P	P
1058-P	P
351	P
351-P	P
828-P	P
593-835-P	P
839-P	P
281	M1
452	M1
521	M1
521-M1	M1
870	M1
870-M1	M1
1137-M1	M1
1067-M1	M1
843	M1
843-M1	M1
1035-M1	M1
975	M1
975-M1	M1
1068-M1	M1
1100	M1
1100-M1	M1
1138-M1	M1
395-1065-M1	M1
642	M1
642-M1	M1
1069-M1	M1
1139-M1	M1
297-M2	M2
454-508-542-570-607-624-M2	M2
476	M2
644-715-M2	M2
896	M2
896-M2	M2
1074	M2
1074-M2	M2
1142-M2	M2
1143-M2	M2
926-M2	M2
492	M2
492-M2	M2
775	M2
775-M2	M2
847	M2
847-M2	M2
956-M2	M2
957-M2	M2
977-M2	M2
1140-M2	M2
1102-M2	M2
507	M2
507-M2	M2
1145-M2	M2
876	M2
876-M2	M2
1144-M2	M2
923-M2	M2
981-M2	M2
1071-M2	M2
1072-M2	M2
1141-M2	M2
297-M3	M3
1148-M3	M3
408-514-572-M4	M4
882	M4
882-M4	M4
1116-M4	M4
1083-M4	M4
1084-M4	M4
1153-M4	M4
538-M5	M5
777-991-M5	M5
905	M5
905-M5	M5
1154-M5	M5
992-M6	M6
978-M8	M8
649-M10	M10
876-M11	M11
M8-0	P
M3-0	M3
538	M5
297	M2
408-514-572	M4
12-43-145	M1
