cell	clone
2163687	16
2246843	13
2273159	0
2338579	8/10
2340831	19
2346955	6/7/9/20/22
2369792	0
2391313	8/10
2393123	12
2402245	8/10
2402811	12
2426679	5/14/24/32
2436893	0
2443664	2
2451787	0
2453786	8/10
2455284	8/10
2466809	8/10
2469351	8/10
2469530	8/10/16
2483411	8/10
2507673	0
2508620	0
2509328	0
2515027	0
2519340	0
2520352	0
2521050	0
2523816	0
2526931	0
2529571	0
2531120	0
2532043	0
2532375	0
2539694	18
2539754	8/10
2544880	8/10
2547307	8/10
2549040	8/10
2555741	12
2566453	16
2567534	8/10
2572669	8/10
2576789	8/10
2577354	12
2577601	8/10
2580157	18
2581129	8/10
2583222	6/7/9/20/23/28
2585259	6/7/9/20/22
