node	tissue
GL	P
0	P
103-128-140-145	P
212	P
212-P	P
850	P
850-P	P
950-P	P
268-285-292-506-528	P
638	P
638-P	P
742	P
742-P	P
1002-P	P
883-P	P
1018-P	P
1019-P	P
678	P
678-P	P
853-P	P
885	P
885-P	P
1020-P	P
224-296-361-378-418	M1
484	M1
484-M1	M1
814	M1
814-M1	M1
1022-M1	M1
495-M1	M1
540	M1
540-M1	M1
854	M1
854-M1	M1
1021-M1	M1
600-644-685-935-M2	M2
337	M3
569-575	M3
569-575-M3	M3
730	M3
730-M3	M3
985-M3	M3
984-M3	M3
662	M3
662-M3	M3
1026-M3	M3
785-M3	M3
937-M3	M3
421-430	M3
421-430-M3	M3
490	M3
490-M3	M3
895-987-M3	M3
986-M3	M3
1024-M3	M3
527-M3	M3
560	M3
560-M3	M3
751-M3	M3
576-590	M3
576-590-M3	M3
699-754-M3	M3
917	M3
917-M3	M3
938-M3	M3
1027-M3	M3
577-695-M3	M3
859	M3
859-M3	M3
1025-M3	M3
960-M3	M3
554-M6	M6
720-M6	M6
848	M6
848-M6	M6
1016-M6	M6
881-M6	M6
929-M6	M6
947-M6	M6
996	M6
996-M6	M6
1014-M6	M6
997-M6	M6
1015-M6	M6
1032-M6	M6
560-M7	M7
905-M7	M7
906-M7	M7
1017-M7	M7
1033-M7	M7
M7-0	M7
554	M6
231	M3
105-120-126-159	M1
