cell	clone
12321719	3/5/7
13003992	3/5/6/10/14/24
13115949	3/5/7
13150916	21/30/31/33/34/36/39/47/49/50
13365790	3/5/6/10/14/24
13414868	9/11/16/18/20/23
13445011	15/19/32
13487065	1/4
13493008	21/30/31/33/34/36/39/47/48/51/56
13501494	21/30/31/33/34/36/39/47
13551390	3/5/6/10/14
13595810	9/11/16/18/20/23
13600708	9/11/16/18/20/23
13602557	9/11/16/18/20/23
13614168	27
13622438	38/40/45
13625126	15/19/32
13627171	38/41/44
13636998	38/41/44
13642889	0/1/2
13643597	0
13653609	0
13654621	0
13661200	0
13663840	0
13666312	0
13666862	1/2
13678561	21/30/31/33/34/36/39/47/48/51/56
13695645	49/50
13700519	49/50
13700933	49/50
13701901	48
13703323	48
13709993	48
13713317	51/56
13714315	48
13715622	21/30/31/33/34/36/39/47
13727376	3/5/6/10/14
13728460	17/22
13761654	13
13761866	3/5/7
13767039	3/5/7
13777763	9/11/16/18/20/23
13781285	25
13795619	15/19/32/37
13798597	15/19/32
13799898	15/19/32
13810237	15/19/32
13812640	37
13815536	15/19/32
