cell	clone
8254317	49
8779896	26/29/34/42/45
8822179	14/18/23
8856186	33
8865374	9/25
8872006	9/25
8909646	13/21/36/44/48
8957186	14/18
9050333	3/4
9055334	1
9063336	10
9089469	22
9097793	11/16/17/19/20/30/32
9107082	33/38/41
9116991	9/25
9130943	52
9145342	26/29/34/42/45
9162416	26/29/34/42/45
9169536	0
9170244	0
9180256	0
9181268	0
9181966	0
9187847	5/6
9190487	7
9192036	0
9192959	0
9193509	0
9205208	14/18/23
9219760	22
9222292	11/16/17/19/20/30/33/38/41
9223880	11/16/17/19/20/30/33
9227166	11/16/17/19/20/30
9227580	32
9228548	33/35
9229970	33/38/41
9236640	33
9239964	38/41
9240962	33
9242269	40
9247965	9/25
9254023	9/25
9254028	9/25
9254738	9/25
9255107	9/25
9273233	26/29/34/42/45
9286461	59
9288301	26/29/34/42/45
9288513	55
9293686	55
