cell	clone
5269153	9
5299200	1
5300481	0
5307033	0
5343847	5/6/8
5438801	35
5440208	38
5538500	20/23/24/31
5549043	29/41/43/45/47
5563822	3
5572573	0
5589464	15
5597177	10/11
5609192	32/35/38
5627750	20/23/24/31
5631382	36
5639957	0/1
5640904	0
5641612	0
5647311	1/2
5651624	3
5652636	0
5653334	1
5659215	1
5661855	1
5663404	2
5664327	1
5664659	5/6/8
5664877	5/6/8
5676576	12
5688597	9
5691128	19/22/26
5693660	19/22/26
5695248	33
5695377	19/22/26
5698534	32
5698948	19/22/26
5699916	19/22/26
5700588	19/22/26
5701338	19/22/26
5708008	38
5711332	19/22/26
5712330	19/22/26
5713637	20/23/24/31
5717718	20/23/24/31
5719333	20/23/24/31
5725391	20/23/24/31
5725396	20/23/24/31
5726106	20/23/24/31
5726475	20/23/24/31
