node	tissue
GL	P
0	P
0-P	P
1	P
1-P	P
2	P
2-P	P
24-25-36	M1
74-P	P
6-7-8-M1	M1
24-25-36-M1	M1
44	M1
44-M1	M1
6-7-8-M2	M2
23-M3	M3
39-M3	M3
52-M4	M4
62-M4	M4
4-5-10-18-19-22-41-47-63-M5	M5
82-M5	M5
86-M5	M5
72-M6	M6
77-M6	M6
3-9-11-12-13-16-17-20-45-59-64-65-73-M7	M7
92-M7	M7
24-25-36-M8	M8
49-53-68-M9	M9
79-M9	M9
58-70-88-M10	M10
91-93-M10	M10
101-M10	M10
46-91-93	M10
49-53-68	M9
14-29-35-50-72	M6
15-21-28-33-40-48-52	M4
23	M3
4-5-10-18-19-22-41-47-63	M5
3-9-11-12-13-16-17-20-45-59-64-65-73	M7
6-7-8	M1
