node	tissue
GL	P
0	P
0-P	P
3	P
106	P
106-P	P
448-527-P	P
538-P	P
650	P
650-P	P
859-P	P
135-445-493-P	P
249-472	P
249-472-P	P
664-P	P
4	P
6	P
6-P	P
56	P
56-P	P
131-P	P
136	P
136-P	P
564-P	P
617-P	P
684-P	P
714-P	P
762-P	P
798-P	P
834-P	P
193-281-464-814-P	P
232	P
232-P	P
552	P
552-P	P
718	P
718-P	P
849-P	P
809-P	P
843-P	P
844-P	P
848-P	P
854-P	P
417-719	P
417-719-P	P
857-P	P
598-P	P
754	P
754-P	P
838-P	P
766-P	P
7	P
7-P	P
154	P
450-P	P
160-P	P
188	P
188-P	P
414-P	P
620-P	P
526	P
526-P	P
850-P	P
679-P	P
683-P	P
688-P	P
846-P	P
11	P
11-P	P
62-70	P
62-70-P	P
657-P	P
740-P	P
770-P	P
652-P	P
22-76-128-173	P
22-76-128-173-P	P
651	P
806-P	P
841-P	P
25-133	P
25-133-P	P
421	P
421-P	P
687-P	P
756-P	P
574-P	P
768	P
768-P	P
795-P	P
796-P	P
30	P
30-P	P
95-206-288-355-560-P	P
855-P	P
35	P
35-P	P
467	P
715-P	P
750-P	P
835-P	P
839-P	P
59	P
59-P	P
420	P
420-P	P
592	P
592-P	P
861-P	P
629-P	P
707-P	P
720-749	P
720-749-P	P
840-P	P
723-P	P
739-P	P
78	P
78-P	P
619-P	P
758-P	P
775-P	P
851-P	P
82-149	P
82-149-P	P
610-P	P
681	P
681-P	P
858-P	P
805-P	P
837-P	P
181-398	P
181-398-P	P
424-444-502-607	P
424-444-502-607-P	P
860-P	P
215	P
215-P	P
630-P	P
250-P	P
326	P
326-P	P
704	P
704-P	P
842-P	P
794-P	P
373-P	P
378-P	P
390-P	P
466	P
466-P	P
845-P	P
852-P	P
475	P
475-P	P
812	P
812-P	P
847-P	P
487	P
487-P	P
802-P	P
504	P
504-P	P
836-P	P
856-P	P
530	P
530-P	P
853-P	P
580-P	P
713-P	P
800-P	P
813-P	P
552-M1	M1
7-M1	M1
154-M1	M1
726-M1	M1
815-M1	M1
816-M1	M1
62-70-M1	M1
685-761-M1	M1
35-M1	M1
693-M1	M1
780-M1	M1
868-M1	M1
869-M1	M1
180-M1	M1
548-M1	M1
866-M1	M1
20-55-72-152-264-M2	M2
429	M2
429-M2	M2
549-M2	M2
625	M2
625-M2	M2
783	M2
783-M2	M2
872-M2	M2
732-M2	M2
820-M2	M2
870-M2	M2
871-M2	M2
694-M2	M2
695-M2	M2
730-M2	M2
781	M2
781-M2	M2
818-M2	M2
782-M2	M2
819-M2	M2
8-37-54-81-M3	M3
699-M3	M3
700-M3	M3
701-M3	M3
736-M3	M3
786-M3	M3
787-M3	M3
822-M3	M3
823-M3	M3
824-M3	M3
825-M3	M3
873-M3	M3
874-M3	M3
875-M3	M3
878-M3	M3
25-133-M5	M5
703-793-M5	M5
232-M6	M6
884-M6	M6
50-77-294-382-M6	M6
833-M6	M6
8-37-54-81-M7	M7
M1-1	P
M6-0	M6
M1-3	M1
50-77-294-382	M6
M5-0	M5
M3-0	M3
8-37-54-81	M3
20-55-72-152-264	M2
180	M1
M1-6	M1
