node	tissue
GL	P
0-1	P
0-1-P	P
7	P
7-P	P
869-P	P
8-48-72-222	P
8-48-72-222-P	P
1147-P	P
9-32	P
197	P
315-609-P	P
483	P
483-P	P
1166-P	P
283	P
283-P	P
977-P	P
342-722	P
1098-P	P
393	P
393-P	P
1019	P
1019-P	P
1172-P	P
1038-1090	P
1038-1090-P	P
1146	P
1146-P	P
515-P	P
11	P
19	P
19-P	P
180-295	P
488-705	P
488-705-P	P
802-P	P
888-P	P
679	P
679-P	P
1089	P
1089-P	P
1182-P	P
1097-P	P
742-P	P
287	P
801-P	P
1039-1085-P	P
509	P
509-P	P
989-P	P
1167-P	P
1179-P	P
752	P
752-P	P
1027	P
1027-P	P
1071-P	P
1028-P	P
1178-P	P
893	P
893-P	P
926-P	P
938-P	P
1174-P	P
1181-P	P
43	P
43-P	P
1129-P	P
51	P
51-P	P
550-636-P	P
1072-P	P
13	P
13-P	P
120-517	P
120-517-P	P
978	P
978-P	P
1180-P	P
184-205	P
405-477	P
405-477-P	P
1084-P	P
526	P
526-P	P
704-795-P	P
740-814	P
740-814-P	P
904	P
904-P	P
1030-P	P
891-P	P
430-708	P
430-708-P	P
981-P	P
616	P
616-P	P
1135-P	P
1149-P	P
1168-P	P
1022-P	P
1139-P	P
1177-P	P
27	P
46	P
46-P	P
124	P
124-P	P
280-751-P	P
534	P
534-P	P
1081-P	P
1142-P	P
1185-P	P
921-P	P
924	P
924-P	P
1183-P	P
968-P	P
1169-P	P
134	P
134-P	P
771	P
771-P	P
1082-P	P
1023-P	P
1175-P	P
47	P
47-P	P
1080-P	P
29	P
207-632	P
207-632-P	P
986-P	P
764-P	P
38	P
38-P	P
101	P
590-890-1083-P	P
650	P
650-P	P
311-367	P
311-367-P	P
714	P
714-P	P
1033	P
1033-P	P
1165-P	P
1171-P	P
1186-P	P
928-P	P
320-844	P
320-844-P	P
1170-P	P
548	P
548-P	P
1025	P
1025-P	P
1150-P	P
1096	P
1096-P	P
1137-P	P
59-103	P
259-P	P
335	P
335-P	P
577	P
577-P	P
1184-P	P
1130-P	P
62	P
62-P	P
1076	P
1076-P	P
1176-P	P
141	P
141-P	P
400	P
400-P	P
460-643	P
460-643-P	P
864-900-P	P
929-P	P
1094-P	P
1128-P	P
495	P
495-P	P
1095-P	P
611-641-698	P
611-641-698-P	P
1133-P	P
974-P	P
369-P	P
406	P
406-P	P
1173-P	P
790	P
790-P	P
1140-P	P
898-P	P
342-722-M1	M1
1119-M1	M1
1146-M1	M1
51-M1	M1
71-M1	M1
206	M1
206-M1	M1
505	M1
505-M1	M1
809	M1
809-M1	M1
999	M1
999-M1	M1
1202-M1	M1
1201-M1	M1
542-625	M1
542-625-M1	M1
1059-M1	M1
593	M1
593-M1	M1
683	M1
683-M1	M1
1120	M1
1120-M1	M1
1206-M1	M1
1159-M1	M1
906-M1	M1
1113-M1	M1
1187-M1	M1
1191-M1	M1
596	M1
596-M1	M1
758-M1	M1
810	M1
810-M1	M1
1190-M1	M1
945	M1
945-M1	M1
1052-M1	M1
1153-M1	M1
1160-M1	M1
1200-M1	M1
599	M1
599-M1	M1
733-909-1121-M1	M1
624-M1	M1
834	M1
834-M1	M1
1195-M1	M1
875-M1	M1
955-M1	M1
1045	M1
1045-M1	M1
1102-M1	M1
1051	M1
1051-M1	M1
1162-M1	M1
1189-M1	M1
1197-M1	M1
1204-M1	M1
382	M1
382-M1	M1
916-1009-M1	M1
957-M1	M1
1053-M1	M1
1118-M1	M1
1199-M1	M1
1205-M1	M1
1208-M1	M1
464	M1
464-M1	M1
835-M1	M1
652	M1
652-M1	M1
1192-M1	M1
882	M1
882-M1	M1
1194-M1	M1
943-M1	M1
956-M1	M1
994-1046-M1	M1
996	M1
996-M1	M1
1155-M1	M1
1188-M1	M1
1050-M1	M1
1114-M1	M1
1152	M1
1152-M1	M1
1203-M1	M1
1193-M1	M1
1196-M1	M1
1198-M1	M1
1207-M1	M1
650-M1	M1
444-543-569	M1
444-543-569-M1	M1
723-M1	M1
111-M2	M2
782	M2
782-M2	M2
1123-M2	M2
841-964	M2
841-964-M2	M2
1069-M2	M2
1209-M2	M2
1011-M3	M3
1012-M3	M3
444-543-569-M3	M3
656-M3	M3
1210-M3	M3
783-966-M4	M4
1051-M5	M5
837	M3
656	M3
M1-3	M1
111	M2
109	M1
71	M1
