cell	clone
11143060	2/4/6/15/24/33/35/38/40/55/62
11306983	0
11497334	85
11533113	10/16/18/20/22/26/30/37/43/50
11558512	69
11589068	2/4/6/15/24/33/35/38/40/55/62
11631549	8/9/12/13/17/25/39/41/42/66/82
11677434	8/9/12/13/17/25/39/41/42/66/82
11679719	10/16/18/20/22/26/30/37/43/50
11693597	10/16/18/20/22/26/30/37/43/49
11697703	10/16/18/20/22/26/30/37/43
11732893	2/4/6/15/24/33/35/38/40/55/62/71/75/77/78
11763936	3
11777083	0
11811925	83
11841221	10/16/18/20/22/26/30/37/43/56
11871576	21/34/45/47/54/61
11885665	2/4/6/15/24/33/35/38/40/55/62/70
11903663	74/84
11904996	0/1
11905704	0
11915716	0
11916728	0
11917426	0
11923307	0
11925947	0
11927496	0
11928419	0
11928969	0
11940668	8/9/12/13/17/25/39/41/42/66/82
11957752	8/9/12/13/17/25/39/41/42/66/82
11962626	85
11963040	8/9/12/13/17/25/39/41/42/66/82
11964008	83
11965430	8/9/12/13/17/25/39/41/42/66/82
11972100	8/9/12/13/17/25/39/41/42/66/82
11975424	8/9/12/13/17/25/39/41/42/66/82
11976422	8/9/12/13/17/25/39/41/42/66/82
11977729	8/9/12/13/17/25/39/41/42/66/82
11989483	10/16/18/20/22/26/30/37/43/53
11990198	10/16/18/20/22/26/30/37/43/49
11990567	10/16/18/20/22/26/30/37/43/49
12008693	21/34/45/47/54/61
12021921	67
12023761	67
12023973	67
12029146	2/4/6/15/24/33/35/38/40/55/62/70
12039802	2/4/6/15/24/33/35/38/40/55/62/73/76
12039870	2/4/6/15/24/33/35/38/40/55/62/73/76
12043392	2/4/6/15/24/33/35/38/40/55/62
