cell	clone
8465149	6
8498519	29
8502452	16/19/23/26/27
8697031	16/19/23/26/27
8827230	4
8878667	14
8882480	12
8936669	5
8994122	29
9023096	2/3
9024888	7
9052018	1/8/9/10/11/15
9059664	1/8/9/10/11
9063678	1/8/9/10/11
9070020	6
9091396	16/19/23/26/27
9105571	16/19/23/26/27
9109252	16/19/23/26/27
9115282	0
9116229	0
9116937	0
9122636	2/3/7
9126949	0
9127961	2/3
9128659	4
9134540	4
9137180	6
9138729	6
9139652	2/3
9140202	1/8/9/10/11/13
9151901	1/8/9/10/11/18
9166453	12/14
9168985	12/16/19/21
9170573	12/14
9170702	17
9173859	6
9174273	17
9175241	12/14
9176663	12
9183333	6
9186657	6
9187655	6
9188962	14
9193043	29
9194658	29
9200716	16/19/23/26/27
9200721	29
9201431	16/19/23/26/27
9201800	29
9206304	16/19/23/26/27
