cell	clone
10163360	5
10169764	4
10181757	0/1
10185069	0/1
10219000	48/54/90/97
10232151	90
10282356	125
10292933	9
10346648	59/64/66/70
10358897	83
10371741	51/55/57/73/77/87/91/100
10393494	15/17/18/22/24/28/35/37/40/41/47/50/53/56/61/65/69/71/76/95/115
10407450	15/17/18/22/24/28/35/37/40/41/47/50/53/56/61/65/69/71/76/95/121
10408067	125
10417014	2
10423472	0/1
10435799	7
10456298	6/29
10462351	49/60/72
10464873	49/60/72
10466430	89
10471167	48/54
10479170	81/82
10482472	81/82
10490534	51/55/57/73/77/87/91/100/107
10496600	51/55/57/73/77/87/91/100/107
10496604	51/55/57/73/77/87/91/100
10497288	107
10519428	15/17/18/22/24/28/35/37/40/41/47/50/53/56/61/65/69/71/76/95/115
10539024	2/3
10546847	2
10547663	0/1
10556114	0/1
10559597	5
10575340	6/29
10583080	38/44
10587080	46
10595452	59/64/66/70/85/86
10604861	49/60/72
10609662	83/88
10614799	51/55/57/73/77/87/91/100/107/113
10618731	51/55/57/73/77/87/91/100/107
10625367	110
10628800	51/55/57/73/77/87/91/100
10632755	107
10632926	113
10642825	125/127
10644425	125/127
10655826	15/17/18/22/24/28/35/37/40/41/47/50/53/56/61/65/69/71/76/95/118
9969231	59/64/66/70
