cell	clone
11677841	65/66
11808116	26/35/37/38/51
11822709	0
11900404	66
12024449	66
12044306	39/41/45/48/58
12054532	61
12076118	0
12078108	0
12103568	7/12/14/23
12111351	5/6/8/9/10/21/22
12115264	7/12/14
12140763	32
12149422	39/41/45/48/58/65/66
12157093	66
12188766	59
12193749	67
12198817	0
12199525	0
12209537	0
12210549	0
12211247	0
12217128	1
12219768	0
12221317	0
12222240	0
12222790	7/12/14/23
12234489	5/6/8/9/10/21/22
12251573	13/16/18/19/20/29
12253161	13/16/18/19/20/29
12256447	13/16/18/19/20/29
12256861	32
12257829	7/12/14
12259251	32
12265921	13/16/18/19/20/29
12269245	13/16/18/19/20/29
12270243	32
12271550	32
12277246	39/41/45/48/58
12283304	39/41/45/48/58
12284019	39/41/45/48/58
12284388	65
12302514	66
12315742	26/35/37/38/51
12317582	59
12317794	61
12322967	26/35/37/38/51
12329511	63
12333623	11/15/17/25/27/28/31/33/52/55/68/73
12333691	11/15/17/25/27/28/31/33/52/55/68/71/78
