node	tissue
GL	P
0	P
1	P
1-P	P
9	P
9-P	P
197	P
197-P	P
627-P	P
628-P	P
600-P	P
11	P
11-P	P
132	P
132-P	P
187-474-671-P	P
662-P	P
178	P
178-P	P
372-528-P	P
379-P	P
274	P
274-P	P
343	P
343-P	P
724-P	P
416-658-P	P
584-P	P
23	P
23-P	P
85-393-421	P
85-393-421-P	P
713-P	P
730-P	P
732-P	P
39-49	P
125-278	P
125-278-P	P
690-P	P
44-53	P
44-53-P	P
238	P
238-P	P
714-P	P
261	P
261-P	P
719-P	P
721-P	P
715-P	P
48	P
118-510	P
118-510-P	P
213-356	P
213-356-P	P
561-P	P
670-P	P
725-P	P
595-P	P
67	P
67-P	P
654-P	P
94-349-P	P
95-201-290	P
95-201-290-P	P
729-P	P
98-P	P
142-155-325-P	P
209	P
209-P	P
479-P	P
495	P
586-P	P
235	P
235-P	P
526-P	P
368-P	P
511-P	P
517-578-P	P
529-P	P
544-P	P
590	P
590-P	P
728-P	P
612-P	P
661-P	P
695-P	P
2	P
2-P	P
7	P
341	P
341-P	P
597-P	P
659-P	P
666-P	P
32-134-402-P	P
51-P	P
136	P
136-P	P
663-P	P
718-P	P
382	P
382-P	P
383-599-P	P
454	P
454-P	P
700-P	P
566-660	P
566-660-P	P
723-P	P
616-P	P
620-P	P
691-P	P
692-P	P
720-P	P
726-P	P
6	P
6-P	P
214	P
214-P	P
423-P	P
424	P
424-P	P
588-P	P
615	P
615-P	P
651-P	P
629-P	P
689-P	P
727-P	P
370	P
370-P	P
722-P	P
453	P
453-P	P
698-P	P
496-583-617-P	P
502-553-593	P
502-553-593-P	P
733-P	P
625-P	P
716-P	P
717-P	P
731-P	P
213-356-M1	M1
673-M1	M1
740-M1	M1
127-M1	M1
329	M1
329-M1	M1
570	M1
570-M1	M1
678-M1	M1
642-M1	M1
373	M1
373-M1	M1
473-M1	M1
506	M1
506-M1	M1
737-M1	M1
568-M1	M1
572-M1	M1
607	M1
607-M1	M1
707-M1	M1
736-M1	M1
608	M1
608-M1	M1
706-M1	M1
676-M1	M1
705-M1	M1
735-M1	M1
739-M1	M1
171-351-M1	M1
508-M1	M1
509-M1	M1
538	M1
538-M1	M1
573-M1	M1
674-M1	M1
738-M1	M1
742-M1	M1
743-M1	M1
209-M1	M1
741-M1	M1
598-M1	M1
734-M1	M1
217-M1	M1
197-M2	M2
72-129-M3	M3
214-M3	M3
6-M4	M4
682-M4	M4
744-M4	M4
118-510-M5	M5
746-M5	M5
404-M5	M5
685-M5	M5
745-M5	M5
382-M5	M5
646-M5	M5
683-M5	M5
648-M6	M6
341-M7	M7
633-M8	M8
334-556-M8	M8
712-M8	M8
171-351-M9	M9
538-M9	M9
11-M10	M10
136-M10	M10
M8-0	P
334-556	M8
598	M1
M5-0	M5
M1-1	M1
M1-2	P
M1-3	M1
404	M5
M5-2	M5
M4-0	M4
M3-1	P
171-351	M1
127	M1
