cell	clone
5508459	31/33/37
5519736	0
6047721	39
6074680	4/11/15/19/21/22/34
6092412	31/33/37
6131707	8/10/12/20
6156493	13/16/18
6188171	5/17
6192102	4/11/15/19/21/22/34
6212938	31/33/37
6229102	0/1/2
6230842	0/1
6243950	1
6250743	0
6251759	2
6255326	24
6269599	32
6299765	39
6308777	42
6315355	5/17
6356631	31/33/37
6364350	1/2/5
6375322	0
6375855	0
6376905	0
6377704	0/1
6380535	0
6385702	8/10/12/20/28/29
6397401	8/10/12/20
6411952	13/16/18
6414484	49
6416072	13/16/18
6419358	13/16/18
6419772	13/16/18
6420740	50
6422162	13/16/18
6428832	13/16/18
6432156	6/7/9/14/25/36
6433154	39
6434461	39
6440157	5/17
6446215	5/17
6446930	5/17
6447299	5/17
6465425	51
6478653	31/33/37
6480493	31/33/37
6480705	31/33/37
6485878	31/33/37
6492422	31/33/37
