cell	clone
10000577	2
10002647	4/13/15/19/29/33/44/49
10007521	4/13/15/19/29/33/44
10007935	49
10008903	4/13/15/19/29/33/44
10010325	4/13/15/19/29/33/44
10016995	4/13/15/19/29/33/44
10020319	4/13/15/19/29/33/44
10021317	49
10022624	49
10034378	14/21/23/25/27/36/41/47/53/56/59/64
10035093	14/21/23/25/27/36/41/47/53/56/59/64
10035462	14/21/23/25/27/36/41/47/53/56/59/64
10053588	40/74
10066816	40/77/78/80/83
10068656	40
10068868	40
10074041	40
10080585	34/38/58/85
10084697	92
10084765	92
10088287	92
9094410	40
9462421	4/13/15/19/29/33/44
9539645	0
9654914	92
9688374	0
9711728	2
9713428	32
9799450	92
9816444	0
9864125	4/13/15/19/29/33/44
9887133	14/21/23/25/27/36/41/47/53/56/59/64
9893667	14/21/23/25/27/36/41/47/53/56/59/64
9897071	73
9901147	11/17/22/30/31/39/51/62/66
9912534	40/74
9936049	34/38/58/85
9943691	92
9949890	0/2
9950598	0
9960610	1/3
9961622	0
9962320	0
9968201	0
9970841	2
9972390	0
9973313	0
9973863	2
9989317	43
