cell	clone
6274656	10/27
6331183	42/43/45
6420144	27
6420495	29/35
6434848	23
6480729	5
6507754	11/19
6515529	14
6542092	31
6563145	40
6572490	7/9/15/28
6613080	0/1/2
6621208	3
6646973	11/19
6664665	24/30
6692119	23
6708877	41
6723791	34/39/48/51/55
6726249	0/1/2/5
6726957	0/1/2
6736969	0/1/2
6737981	0/1/2
6738679	5
6744560	4/6
6747200	3
6748749	0/1/2
6749672	4/6
6750222	3
6761921	14
6776473	11
6779005	10/27/32
6780593	10/27/32
6783879	33
6784293	10/27
6785261	10
6786683	27
6793353	26
6796677	33
6797675	26
6798982	10
6804678	23/38
6810736	40
6810741	49
6811451	38
6811820	23
6829946	7/9/15/28/41
6843174	7/9/15/28
6845014	7/9/15/28
6845226	46
6850399	42/43/45
