node	tissue
pinkA	left-humerus-bone-marrow
pinkJ	right-pelvic-lymph-node-12
greyC	prostate
greyD	seminal-vesicle
dark-purpleE	left-adrenal-gland
dark-purpleF	right-adrenal-gland
dark-purpleG	bladder
dark-purpleH	pelvic-lymph-node-7
dark-purpleI	left-pelvic-lymph-node-8
dark-purpleJ	right-pelvic-lymph-node-12
dark-purpleK	left-pelvic-lymph-node-5
orangeA	left-humerus-bone-marrow
orangeE	left-adrenal-gland
orangeG	bladder
orangeJ	right-pelvic-lymph-node-12
light-greenF	right-adrenal-gland
light-greenG	bladder
light-greenH	pelvic-lymph-node-7
light-greenI	left-pelvic-lymph-node-8
light-greenJ	right-pelvic-lymph-node-12
light-greenK	left-pelvic-lymph-node-5
redC	prostate
redD	seminal-vesicle
redK	left-pelvic-lymph-node-5
mid-greenE	left-adrenal-gland
mid-greenF	right-adrenal-gland
mid-blueD	seminal-vesicle
mid-blueG	bladder
mid-blueJ	right-pelvic-lymph-node-12
dark-blueD	seminal-vesicle
dark-blueG	bladder
dark-blueJ	right-pelvic-lymph-node-12
light-blueH	pelvic-lymph-node-7
light-blueK	left-pelvic-lymph-node-5
yellowH	pelvic-lymph-node-7
yellowK	left-pelvic-lymph-node-5
dark-greenI	left-pelvic-lymph-node-8
dark-greenK	left-pelvic-lymph-node-5
dark-brownC	prostate
goldF	right-adrenal-gland
light-brownI	left-pelvic-lymph-node-8
light-purpleE	left-adrenal-gland
